method,q,file,status,N,cal_start,cal_end,cal_n,eval_start,eval_n,flagged,cal_anomaly_samples,threshold,pca_components,true_event_count,hit_event_count,alarm_event_count,false_alarm_event_count,healthy_samples,alarm_healthy_samples,event_recall,false_alarm_events_per_healthy_hour,tia_h,median_delay_s,too_early_overlap_count
F0,0.995,other/1.csv,ok,745,120,480,360,480,265,0,0,361.12667927838527,,1,0,0,0,77,0,0.0,0.0,0.0,,0
F0,0.995,other/10.csv,ok,1327,120,480,360,480,847,0,0,299.69019027252284,,1,0,0,0,261,0,0.0,0.0,0.0,,0
F0,0.995,other/11.csv,ok,1190,120,480,360,480,710,0,0,3.9736814956573943,,1,1,1,0,259,0,1.0,0.0,0.0,128.0,0
F0,0.995,other/12.csv,ok,1048,120,480,360,480,568,0,0,599.3803805450457,,1,0,0,0,259,0,0.0,0.0,0.0,,0
F0,0.995,other/13.csv,ok,923,120,480,360,480,443,0,0,660.8164948547776,,1,0,0,0,178,0,0.0,0.0,0.0,,0
F0,0.995,other/14.csv,ok,905,120,480,360,480,425,0,0,599.3803805450458,,1,0,0,0,123,0,0.0,0.0,0.0,,0
F0,0.995,other/2.csv,ok,780,120,480,360,480,300,1,360,361.12667927838527,,0,0,0,0,292,0,,0.0,0.0,,0
F0,0.995,other/3.csv,ok,1137,120,480,360,480,657,0,0,599.3803805450458,,1,0,0,0,259,0,0.0,0.0,0.0,,0
F0,0.995,other/4.csv,ok,1191,120,480,360,480,711,0,0,3.5038504935271653,,1,0,0,0,316,0,0.0,0.0,0.0,,0
F0,0.995,other/5.csv,ok,1155,120,480,360,480,675,0,0,6.35360860222114,,1,1,2,1,265,52,1.0,13.584905660377357,0.19622641509433963,9.0,0
F0,0.995,other/6.csv,ok,1147,120,480,360,480,667,0,0,299.69019027252284,,1,0,0,0,265,0,0.0,0.0,0.0,,0
F0,0.995,other/7.csv,ok,1090,120,480,360,480,610,0,0,3.4844105503024383,,1,1,1,0,263,0,1.0,0.0,0.0,10.0,0
F0,0.995,other/8.csv,ok,1147,120,480,360,480,667,0,0,4.046991772559137,,1,0,1,1,264,37,0.0,13.636363636363637,0.14015151515151514,,0
F0,0.995,other/9.csv,ok,1144,120,480,360,480,664,0,0,5.535525445403109,,1,1,1,0,263,0,1.0,0.0,0.0,13.0,0
F0,0.995,valve1/0.csv,ok,1147,120,480,360,480,667,0,0,599.3803805450457,,1,0,0,0,266,0,0.0,0.0,0.0,,0
F0,0.995,valve1/1.csv,ok,1145,120,480,360,480,665,0,0,599.3803805450458,,1,0,0,0,263,0,0.0,0.0,0.0,,0
F0,0.995,valve1/10.csv,ok,1146,120,480,360,480,666,0,0,599.3803805450458,,1,0,0,0,265,0,0.0,0.0,0.0,,0
F0,0.995,valve1/11.csv,ok,1141,120,480,360,480,661,0,0,599.3803805450457,,1,0,0,0,262,0,0.0,0.0,0.0,,0
F0,0.995,valve1/12.csv,ok,1140,120,480,360,480,660,0,0,599.3803805450458,,1,0,0,0,261,0,0.0,0.0,0.0,,0
F0,0.995,valve1/13.csv,ok,1140,120,480,360,480,660,0,0,599.3803805450458,,1,0,0,0,261,0,0.0,0.0,0.0,,0
F0,0.995,valve1/14.csv,ok,1139,120,480,360,480,659,0,0,599.3803805450458,,1,0,0,0,260,0,0.0,0.0,0.0,,0
F0,0.995,valve1/15.csv,ok,1150,120,480,360,480,670,0,0,599.3803805450458,,1,0,0,0,266,0,0.0,0.0,0.0,,0
F0,0.995,valve1/2.csv,ok,1075,120,480,360,480,595,0,0,599.3803805450458,,1,0,0,0,258,0,0.0,0.0,0.0,,0
F0,0.995,valve1/3.csv,ok,1148,120,480,360,480,668,0,0,599.3803805450458,,1,0,0,0,264,0,0.0,0.0,0.0,,0
F0,0.995,valve1/4.csv,ok,1095,120,480,360,480,615,0,0,599.3803805450458,,1,0,0,0,266,0,0.0,0.0,0.0,,0
F0,0.995,valve1/5.csv,ok,1154,120,480,360,480,674,0,0,599.3803805450458,,1,0,0,0,271,0,0.0,0.0,0.0,,0
F0,0.995,valve1/6.csv,ok,1154,120,480,360,480,674,0,0,599.3803805450458,,1,0,0,0,269,0,0.0,0.0,0.0,,0
F0,0.995,valve1/7.csv,ok,1094,120,480,360,480,614,0,0,361.12667927838527,,1,0,0,0,209,0,0.0,0.0,0.0,,0
F0,0.995,valve1/8.csv,ok,1144,120,480,360,480,664,0,0,599.3803805450458,,1,0,0,0,264,0,0.0,0.0,0.0,,0
F0,0.995,valve1/9.csv,ok,1148,120,480,360,480,668,0,0,599.3803805450458,,1,0,0,0,266,0,0.0,0.0,0.0,,0
F0,0.995,valve2/0.csv,ok,1125,120,480,360,480,645,0,0,599.3803805450458,,1,0,0,0,251,0,0.0,0.0,0.0,,0
F0,0.995,valve2/1.csv,ok,1063,120,480,360,480,583,0,0,599.3803805450458,,1,0,0,0,250,0,0.0,0.0,0.0,,0
F0,0.995,valve2/2.csv,ok,1129,120,480,360,480,649,0,0,599.3803805450458,,1,0,0,0,254,0,0.0,0.0,0.0,,0
F0,0.995,valve2/3.csv,ok,995,120,480,360,480,515,0,0,599.3803805450458,,1,0,0,0,120,0,0.0,0.0,0.0,,0
