file,N,first_anomaly_index_0based,rule,cal_start_inclusive,cal_end_exclusive,cal_n,cal_anomaly_samples,cal_anomaly_fraction,flagged,insufficient
other/1.csv,745,557,mid_v1,120,372,252,0,0.0,0,1
other/1.csv,745,557,fixed380_mid,120,372,252,0,0.0,0,1
other/1.csv,745,557,fixed300,120,420,300,0,0.0,0,0
other/1.csv,745,557,fixed330,120,450,330,0,0.0,0,0
other/1.csv,745,557,fixed360,120,480,360,0,0.0,0,0
other/1.csv,745,557,fixed374,120,494,374,0,0.0,0,0
other/1.csv,745,557,fixed375,120,495,375,0,0.0,0,0
other/1.csv,745,557,fixed380,120,500,380,0,0.0,0,0
other/10.csv,1327,570,mid_v1,120,663,543,93,0.1712707182320442,1,0
other/10.csv,1327,570,fixed380_mid,120,500,380,0,0.0,0,0
other/10.csv,1327,570,fixed300,120,420,300,0,0.0,0,0
other/10.csv,1327,570,fixed330,120,450,330,0,0.0,0,0
other/10.csv,1327,570,fixed360,120,480,360,0,0.0,0,0
other/10.csv,1327,570,fixed374,120,494,374,0,0.0,0,0
other/10.csv,1327,570,fixed375,120,495,375,0,0.0,0,0
other/10.csv,1327,570,fixed380,120,500,380,0,0.0,0,0
other/11.csv,1190,570,mid_v1,120,595,475,25,0.05263157894736842,1,0
other/11.csv,1190,570,fixed380_mid,120,500,380,0,0.0,0,0
other/11.csv,1190,570,fixed300,120,420,300,0,0.0,0,0
other/11.csv,1190,570,fixed330,120,450,330,0,0.0,0,0
other/11.csv,1190,570,fixed360,120,480,360,0,0.0,0,0
other/11.csv,1190,570,fixed374,120,494,374,0,0.0,0,0
other/11.csv,1190,570,fixed375,120,495,375,0,0.0,0,0
other/11.csv,1190,570,fixed380,120,500,380,0,0.0,0,0
other/12.csv,1048,568,mid_v1,120,524,404,0,0.0,0,0
other/12.csv,1048,568,fixed380_mid,120,500,380,0,0.0,0,0
other/12.csv,1048,568,fixed300,120,420,300,0,0.0,0,0
other/12.csv,1048,568,fixed330,120,450,330,0,0.0,0,0
other/12.csv,1048,568,fixed360,120,480,360,0,0.0,0,0
other/12.csv,1048,568,fixed374,120,494,374,0,0.0,0,0
other/12.csv,1048,568,fixed375,120,495,375,0,0.0,0,0
other/12.csv,1048,568,fixed380,120,500,380,0,0.0,0,0
other/13.csv,923,495,mid_v1,120,461,341,0,0.0,0,0
other/13.csv,923,495,fixed380_mid,120,461,341,0,0.0,0,0
other/13.csv,923,495,fixed300,120,420,300,0,0.0,0,0
other/13.csv,923,495,fixed330,120,450,330,0,0.0,0,0
other/13.csv,923,495,fixed360,120,480,360,0,0.0,0,0
other/13.csv,923,495,fixed374,120,494,374,0,0.0,0,0
other/13.csv,923,495,fixed375,120,495,375,0,0.0,0,0
other/13.csv,923,495,fixed380,120,500,380,5,0.013157894736842105,1,0
other/14.csv,905,571,mid_v1,120,452,332,0,0.0,0,0
other/14.csv,905,571,fixed380_mid,120,452,332,0,0.0,0,0
other/14.csv,905,571,fixed300,120,420,300,0,0.0,0,0
other/14.csv,905,571,fixed330,120,450,330,0,0.0,0,0
other/14.csv,905,571,fixed360,120,480,360,0,0.0,0,0
other/14.csv,905,571,fixed374,120,494,374,0,0.0,0,0
other/14.csv,905,571,fixed375,120,495,375,0,0.0,0,0
other/14.csv,905,571,fixed380,120,500,380,0,0.0,0,0
other/2.csv,780,104,mid_v1,120,390,270,270,1.0,1,1
other/2.csv,780,104,fixed380_mid,120,390,270,270,1.0,1,1
other/2.csv,780,104,fixed300,120,420,300,300,1.0,1,0
other/2.csv,780,104,fixed330,120,450,330,330,1.0,1,0
other/2.csv,780,104,fixed360,120,480,360,360,1.0,1,0
other/2.csv,780,104,fixed374,120,494,374,368,0.983957219251337,1,0
other/2.csv,780,104,fixed375,120,495,375,368,0.9813333333333333,1,0
other/2.csv,780,104,fixed380,120,500,380,368,0.968421052631579,1,0
other/3.csv,1137,568,mid_v1,120,568,448,0,0.0,0,0
other/3.csv,1137,568,fixed380_mid,120,500,380,0,0.0,0,0
other/3.csv,1137,568,fixed300,120,420,300,0,0.0,0,0
other/3.csv,1137,568,fixed330,120,450,330,0,0.0,0,0
other/3.csv,1137,568,fixed360,120,480,360,0,0.0,0,0
other/3.csv,1137,568,fixed374,120,494,374,0,0.0,0,0
other/3.csv,1137,568,fixed375,120,495,375,0,0.0,0,0
other/3.csv,1137,568,fixed380,120,500,380,0,0.0,0,0
other/4.csv,1191,796,mid_v1,120,595,475,0,0.0,0,0
other/4.csv,1191,796,fixed380_mid,120,500,380,0,0.0,0,0
other/4.csv,1191,796,fixed300,120,420,300,0,0.0,0,0
other/4.csv,1191,796,fixed330,120,450,330,0,0.0,0,0
other/4.csv,1191,796,fixed360,120,480,360,0,0.0,0,0
other/4.csv,1191,796,fixed374,120,494,374,0,0.0,0,0
other/4.csv,1191,796,fixed375,120,495,375,0,0.0,0,0
other/4.csv,1191,796,fixed380,120,500,380,0,0.0,0,0
other/5.csv,1155,572,mid_v1,120,577,457,5,0.010940919037199124,1,0
other/5.csv,1155,572,fixed380_mid,120,500,380,0,0.0,0,0
other/5.csv,1155,572,fixed300,120,420,300,0,0.0,0,0
other/5.csv,1155,572,fixed330,120,450,330,0,0.0,0,0
other/5.csv,1155,572,fixed360,120,480,360,0,0.0,0,0
other/5.csv,1155,572,fixed374,120,494,374,0,0.0,0,0
other/5.csv,1155,572,fixed375,120,495,375,0,0.0,0,0
other/5.csv,1155,572,fixed380,120,500,380,0,0.0,0,0
other/6.csv,1147,573,mid_v1,120,573,453,0,0.0,0,0
other/6.csv,1147,573,fixed380_mid,120,500,380,0,0.0,0,0
other/6.csv,1147,573,fixed300,120,420,300,0,0.0,0,0
other/6.csv,1147,573,fixed330,120,450,330,0,0.0,0,0
other/6.csv,1147,573,fixed360,120,480,360,0,0.0,0,0
other/6.csv,1147,573,fixed374,120,494,374,0,0.0,0,0
other/6.csv,1147,573,fixed375,120,495,375,0,0.0,0,0
other/6.csv,1147,573,fixed380,120,500,380,0,0.0,0,0
other/7.csv,1090,572,mid_v1,120,545,425,0,0.0,0,0
other/7.csv,1090,572,fixed380_mid,120,500,380,0,0.0,0,0
other/7.csv,1090,572,fixed300,120,420,300,0,0.0,0,0
other/7.csv,1090,572,fixed330,120,450,330,0,0.0,0,0
other/7.csv,1090,572,fixed360,120,480,360,0,0.0,0,0
other/7.csv,1090,572,fixed374,120,494,374,0,0.0,0,0
other/7.csv,1090,572,fixed375,120,495,375,0,0.0,0,0
other/7.csv,1090,572,fixed380,120,500,380,0,0.0,0,0
other/8.csv,1147,572,mid_v1,120,573,453,1,0.002207505518763797,1,0
other/8.csv,1147,572,fixed380_mid,120,500,380,0,0.0,0,0
other/8.csv,1147,572,fixed300,120,420,300,0,0.0,0,0
other/8.csv,1147,572,fixed330,120,450,330,0,0.0,0,0
other/8.csv,1147,572,fixed360,120,480,360,0,0.0,0,0
other/8.csv,1147,572,fixed374,120,494,374,0,0.0,0,0
other/8.csv,1147,572,fixed375,120,495,375,0,0.0,0,0
other/8.csv,1147,572,fixed380,120,500,380,0,0.0,0,0
other/9.csv,1144,572,mid_v1,120,572,452,0,0.0,0,0
other/9.csv,1144,572,fixed380_mid,120,500,380,0,0.0,0,0
other/9.csv,1144,572,fixed300,120,420,300,0,0.0,0,0
other/9.csv,1144,572,fixed330,120,450,330,0,0.0,0,0
other/9.csv,1144,572,fixed360,120,480,360,0,0.0,0,0
other/9.csv,1144,572,fixed374,120,494,374,0,0.0,0,0
other/9.csv,1144,572,fixed375,120,495,375,0,0.0,0,0
other/9.csv,1144,572,fixed380,120,500,380,0,0.0,0,0
valve1/0.csv,1147,573,mid_v1,120,573,453,0,0.0,0,0
valve1/0.csv,1147,573,fixed380_mid,120,500,380,0,0.0,0,0
valve1/0.csv,1147,573,fixed300,120,420,300,0,0.0,0,0
valve1/0.csv,1147,573,fixed330,120,450,330,0,0.0,0,0
valve1/0.csv,1147,573,fixed360,120,480,360,0,0.0,0,0
valve1/0.csv,1147,573,fixed374,120,494,374,0,0.0,0,0
valve1/0.csv,1147,573,fixed375,120,495,375,0,0.0,0,0
valve1/0.csv,1147,573,fixed380,120,500,380,0,0.0,0,0
valve1/1.csv,1145,572,mid_v1,120,572,452,0,0.0,0,0
valve1/1.csv,1145,572,fixed380_mid,120,500,380,0,0.0,0,0
valve1/1.csv,1145,572,fixed300,120,420,300,0,0.0,0,0
valve1/1.csv,1145,572,fixed330,120,450,330,0,0.0,0,0
valve1/1.csv,1145,572,fixed360,120,480,360,0,0.0,0,0
valve1/1.csv,1145,572,fixed374,120,494,374,0,0.0,0,0
valve1/1.csv,1145,572,fixed375,120,495,375,0,0.0,0,0
valve1/1.csv,1145,572,fixed380,120,500,380,0,0.0,0,0
valve1/10.csv,1146,573,mid_v1,120,573,453,0,0.0,0,0
valve1/10.csv,1146,573,fixed380_mid,120,500,380,0,0.0,0,0
valve1/10.csv,1146,573,fixed300,120,420,300,0,0.0,0,0
valve1/10.csv,1146,573,fixed330,120,450,330,0,0.0,0,0
valve1/10.csv,1146,573,fixed360,120,480,360,0,0.0,0,0
valve1/10.csv,1146,573,fixed374,120,494,374,0,0.0,0,0
valve1/10.csv,1146,573,fixed375,120,495,375,0,0.0,0,0
valve1/10.csv,1146,573,fixed380,120,500,380,0,0.0,0,0
valve1/11.csv,1141,572,mid_v1,120,570,450,0,0.0,0,0
valve1/11.csv,1141,572,fixed380_mid,120,500,380,0,0.0,0,0
