method,q,file_count,true_event_count,hit_event_count,false_alarm_event_count,healthy_samples,alarm_healthy_samples,event_recall,false_alarm_events_per_healthy_hour,tia_h,median_delay_s
F0,0.9,34,33,8,2,8390,1176,0.24242424242424243,0.8581644815256256,0.1401668653158522,46.0
F0,0.99,34,33,5,2,8390,113,0.15151515151515152,0.8581644815256256,0.013468414779499404,10.0
F0,0.995,34,33,4,2,8390,89,0.12121212121212122,0.8581644815256256,0.010607866507747319,11.5
F0,0.999,34,33,3,1,8390,52,0.09090909090909091,0.4290822407628128,0.006197854588796186,10.0
F2,0.9,34,33,23,18,8390,3244,0.696969696969697,7.723480333730631,0.3866507747318236,9.0
F2,0.99,34,33,17,12,8390,1563,0.5151515151515151,5.148986889153754,0.18629320619785458,42.0
F2,0.995,34,33,14,11,8390,1416,0.42424242424242425,4.7199046483909415,0.16877234803337307,51.0
F2,0.999,34,33,14,10,8390,1420,0.42424242424242425,4.290822407628128,0.16924910607866508,40.0
F3,0.9,34,33,15,15,8390,1019,0.45454545454545453,6.4362336114421925,0.12145411203814065,67.0
F3,0.99,34,33,11,10,8390,620,0.3333333333333333,4.290822407628128,0.07389749702026222,116.0
F3,0.995,34,33,11,10,8390,619,0.3333333333333333,4.290822407628128,0.07377830750893921,116.0
F3,0.999,34,33,10,10,8390,612,0.30303030303030304,4.290822407628128,0.07294398092967819,108.5
