method,q,file,threshold,alarm_event_id,t_start,t_end,duration_samples,start_label,belongs_to_any_hit,is_false_alarm_event,too_early_overlap
F0,0.9,other/10.csv,3.219768637811368,0,650,1287,637,1,1,0,0
F0,0.9,other/11.csv,2.6980000000000004,0,654,1190,536,1,1,0,0
F0,0.9,other/12.csv,4.031401694832914,0,648,1048,400,1,1,0,0
F0,0.9,other/4.csv,2.6979999999999995,0,1190,1191,1,1,1,0,0
F0,0.9,other/5.csv,4.0497526232144,0,581,641,60,1,1,0,0
F0,0.9,other/5.csv,4.0497526232144,1,992,1060,68,0,0,1,0
F0,0.9,other/6.csv,3.214657149921052,0,582,1104,522,1,1,0,0
F0,0.9,other/7.csv,2.6980000000000004,0,582,1090,508,1,1,0,0
F0,0.9,other/8.csv,2.6980000000000004,0,981,1147,166,0,0,1,0
F0,0.9,other/9.csv,2.701309737227296,0,584,1144,560,1,1,0,0
F0,0.99,other/11.csv,3.862868976429674,0,698,857,159,1,1,0,0
F0,0.99,other/5.csv,6.290636234447939,0,581,633,52,1,1,0,0
F0,0.99,other/5.csv,6.290636234447939,1,992,1044,52,0,0,1,0
F0,0.99,other/6.csv,5.396000000000001,0,583,641,58,1,1,0,0
F0,0.99,other/6.csv,5.396000000000001,1,950,995,45,1,1,0,0
F0,0.99,other/7.csv,3.4215362516102004,0,582,704,122,1,1,0,0
F0,0.99,other/8.csv,3.902438942484339,0,982,1023,41,0,0,1,0
F0,0.99,other/9.csv,5.212833353918792,0,585,797,212,1,1,0,0
F0,0.995,other/11.csv,3.9736814956573943,0,698,857,159,1,1,0,0
F0,0.995,other/5.csv,6.35360860222114,0,581,633,52,1,1,0,0
F0,0.995,other/5.csv,6.35360860222114,1,992,1044,52,0,0,1,0
F0,0.995,other/7.csv,3.4844105503024383,0,582,663,81,1,1,0,0
F0,0.995,other/8.csv,4.046991772559137,0,982,1019,37,0,0,1,0
F0,0.995,other/9.csv,5.535525445403109,0,585,790,205,1,1,0,0
F0,0.999,other/11.csv,4.383233175130898,0,698,857,159,1,1,0,0
F0,0.999,other/5.csv,9.229209364655864,0,581,632,51,1,1,0,0
F0,0.999,other/5.csv,9.229209364655864,1,992,1044,52,0,0,1,0
F0,0.999,other/7.csv,3.609472498856907,0,582,660,78,1,1,0,0
F2,0.9,other/1.csv,46.55967401923443,0,503,682,179,0,1,0,0
F2,0.9,other/10.csv,26.17641522260564,0,506,612,106,0,0,1,1
F2,0.9,other/10.csv,26.17641522260564,1,1030,1222,192,1,1,0,0
F2,0.9,other/11.csv,1.0127594308287722,0,508,1190,682,0,0,1,1
F2,0.9,other/12.csv,99.33052778340405,0,834,1048,214,1,1,0,0
F2,0.9,other/13.csv,167.30960961406205,0,503,584,81,1,1,0,0
F2,0.9,other/2.csv,38.840091042853125,0,624,780,156,0,0,1,0
F2,0.9,other/3.csv,46.51725988579304,0,494,554,60,0,0,1,0
F2,0.9,other/4.csv,1.1603948759999225,0,489,1191,702,0,0,1,1
F2,0.9,other/5.csv,2.206280714664142,0,581,1155,574,1,1,0,0
F2,0.9,other/6.csv,11.933795035072693,0,583,694,111,1,1,0,0
F2,0.9,other/6.csv,11.933795035072693,1,1003,1040,37,0,0,1,0
F2,0.9,other/7.csv,0.9993861221379872,0,497,1090,593,0,0,1,1
F2,0.9,other/8.csv,1.0934610035021324,0,504,1147,643,0,0,1,1
F2,0.9,other/9.csv,67.69350863378315,0,626,847,221,1,1,0,0
F2,0.9,valve1/0.csv,163.696127448697,0,533,611,78,0,1,0,0
F2,0.9,valve1/0.csv,163.696127448697,1,995,1069,74,0,0,1,0
F2,0.9,valve1/1.csv,153.58397593395028,0,508,684,176,0,0,1,1
F2,0.9,valve1/1.csv,153.58397593395028,1,993,1145,152,0,0,1,0
F2,0.9,valve1/10.csv,199.80141995664493,0,693,865,172,1,1,0,0
F2,0.9,valve1/11.csv,46.85425739242689,0,741,814,73,1,1,0,0
F2,0.9,valve1/12.csv,52.39631697785219,0,581,701,120,1,1,0,0
F2,0.9,valve1/12.csv,52.39631697785219,1,1079,1140,61,0,0,1,0
F2,0.9,valve1/13.csv,56.50244362095051,0,489,553,64,0,0,1,0
F2,0.9,valve1/14.csv,51.73736270324421,0,574,674,100,1,1,0,0
F2,0.9,valve1/14.csv,51.73736270324421,1,986,1029,43,0,0,1,0
F2,0.9,valve1/15.csv,172.5169888662527,0,522,586,64,0,1,0,0
F2,0.9,valve1/15.csv,172.5169888662527,1,943,1150,207,1,1,0,0
F2,0.9,valve1/2.csv,39.14608638523968,0,517,663,146,0,1,0,0
