events,hits,recall,fp_events,healthy_hours,fp_per_hour,tia,delay_median,too_early,n_alarm_events,file,method,flagged,cal_len
1,0,0.0,0,0.021388888888888888,0.0,0.0,,0,0,other\1.csv,F0,0,360
1,0,0.0,0,0.021388888888888888,0.0,0.0,,0,0,other\1.csv,F2,0,360
1,0,0.0,1,0.021388888888888888,46.753246753246756,1.0,,1,1,other\1.csv,F3,0,360
1,0,0.0,0,0.0725,0.0,0.0,,0,0,other\10.csv,F0,0,360
1,1,1.0,0,0.0725,0.0,0.0,198.0,0,1,other\10.csv,F2,0,360
1,1,1.0,0,0.0725,0.0,0.0,92.0,0,1,other\10.csv,F3,0,360
1,1,1.0,0,0.07194444444444445,0.0,0.0,119.0,0,1,other\11.csv,F0,0,360
1,0,0.0,1,0.07194444444444445,13.899613899613898,0.9266409266409267,,1,1,other\11.csv,F2,0,360
1,0,0.0,0,0.07194444444444445,0.0,0.0,,0,0,other\11.csv,F3,0,360
1,0,0.0,0,0.07194444444444445,0.0,0.0,,0,0,other\12.csv,F0,0,360
1,0,0.0,0,0.07194444444444445,0.0,0.0,,0,0,other\12.csv,F2,0,360
1,0,0.0,0,0.07194444444444445,0.0,0.0,,0,0,other\12.csv,F3,0,360
1,0,0.0,0,0.049444444444444444,0.0,0.0,,0,0,other\13.csv,F0,0,360
1,0,0.0,0,0.049444444444444444,0.0,0.0,,0,0,other\13.csv,F2,0,360
1,0,0.0,0,0.049444444444444444,0.0,0.0,,0,0,other\13.csv,F3,0,360
1,0,0.0,0,0.034166666666666665,0.0,0.0,,0,0,other\14.csv,F0,0,360
1,0,0.0,0,0.034166666666666665,0.0,0.0,,0,0,other\14.csv,F2,0,360
1,0,0.0,1,0.034166666666666665,29.26829268292683,0.5528455284552846,,0,1,other\14.csv,F3,0,360
0,0,0.0,0,0.0811111111111111,0.0,0.0,,0,0,other\2.csv,F0,1,360
0,0,0.0,0,0.0811111111111111,0.0,0.0,,0,0,other\2.csv,F2,1,360
0,0,0.0,0,0.0811111111111111,0.0,0.0,,0,0,other\2.csv,F3,1,360
1,0,0.0,0,0.07194444444444445,0.0,0.0,,0,0,other\3.csv,F0,0,360
1,0,0.0,0,0.07194444444444445,0.0,0.0,,0,0,other\3.csv,F2,0,360
1,0,0.0,1,0.07194444444444445,13.899613899613898,0.21621621621621623,,0,1,other\3.csv,F3,0,360
1,0,0.0,0,0.08777777777777777,0.0,0.0,,0,0,other\4.csv,F0,0,360
1,0,0.0,1,0.08777777777777777,11.39240506329114,1.0,,1,1,other\4.csv,F2,0,360
1,0,0.0,0,0.08777777777777777,0.0,0.0,,0,0,other\4.csv,F3,0,360
1,1,1.0,1,0.07361111111111111,13.584905660377357,0.23018867924528302,0.0,0,2,other\5.csv,F0,0,360
1,1,1.0,0,0.07361111111111111,0.0,0.0,0.0,0,1,other\5.csv,F2,0,360
1,1,1.0,1,0.07361111111111111,13.584905660377357,0.6264150943396226,42.0,0,2,other\5.csv,F3,0,360
1,0,0.0,0,0.07361111111111111,0.0,0.0,,0,0,other\6.csv,F0,0,360
1,0,0.0,1,0.07361111111111111,13.584905660377357,0.10566037735849057,,0,1,other\6.csv,F2,0,360
1,1,1.0,1,0.07361111111111111,13.584905660377357,0.4867924528301887,-47.0,0,2,other\6.csv,F3,0,360
1,1,1.0,0,0.07305555555555555,0.0,0.0,1.0,0,1,other\7.csv,F0,0,360
1,1,1.0,1,0.07305555555555555,13.688212927756654,0.8250950570342205,263.0,0,2,other\7.csv,F2,0,360
1,1,1.0,0,0.07305555555555555,0.0,0.0,284.0,0,1,other\7.csv,F3,0,360
1,1,1.0,0,0.07333333333333333,0.0,0.16666666666666666,401.0,0,1,other\8.csv,F0,0,360
1,0,0.0,1,0.07333333333333333,13.636363636363637,0.9431818181818182,,1,1,other\8.csv,F2,0,360
1,0,0.0,1,0.07333333333333333,13.636363636363637,0.04924242424242424,,0,1,other\8.csv,F3,0,360
1,1,1.0,0,0.07305555555555555,0.0,0.0,4.0,0,1,other\9.csv,F0,0,360
1,1,1.0,0,0.07305555555555555,0.0,0.0,45.0,0,1,other\9.csv,F2,0,360
1,0,0.0,0,0.07305555555555555,0.0,0.0,,0,0,other\9.csv,F3,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\0.csv,F0,0,360
1,1,1.0,0,0.07388888888888889,0.0,0.0,228.0,0,1,valve1\0.csv,F2,0,360
1,1,1.0,0,0.07388888888888889,0.0,0.0,107.0,0,1,valve1\0.csv,F3,0,360
1,0,0.0,0,0.07305555555555555,0.0,0.0,,0,0,valve1\1.csv,F0,0,360
1,0,0.0,0,0.07305555555555555,0.0,0.0,,0,0,valve1\1.csv,F2,0,360
1,0,0.0,0,0.07305555555555555,0.0,0.0,,0,0,valve1\1.csv,F3,0,360
1,0,0.0,0,0.07361111111111111,0.0,0.0,,0,0,valve1\10.csv,F0,0,360
1,0,0.0,1,0.07361111111111111,13.584905660377357,0.28679245283018867,,0,1,valve1\10.csv,F2,0,360
1,1,1.0,0,0.07361111111111111,0.0,0.0,16.0,0,1,valve1\10.csv,F3,0,360
1,0,0.0,0,0.07277777777777777,0.0,0.0,,0,0,valve1\11.csv,F0,0,360
1,1,1.0,0,0.07277777777777777,0.0,0.022900763358778626,357.0,0,1,valve1\11.csv,F2,0,360
1,0,0.0,0,0.07277777777777777,0.0,0.0,,0,0,valve1\11.csv,F3,0,360
1,0,0.0,0,0.0725,0.0,0.0,,0,0,valve1\12.csv,F0,0,360
1,1,1.0,0,0.0725,0.0,0.0,23.0,0,1,valve1\12.csv,F2,0,360
