cal_mode,file,method,quantile,recall,fp_per_hour,delay,time_in_alarm
mid,other\1.csv,F0,0.9,0.0,0.0,,0.0
mid,other\1.csv,F0,0.99,0.0,0.0,,0.0
mid,other\1.csv,F0,0.995,0.0,0.0,,0.0
mid,other\1.csv,F0,0.999,0.0,0.0,,0.0
mid,other\1.csv,F2,0.9,1.0,19.45945945945946,-54.0,0.2918918918918919
mid,other\1.csv,F2,0.99,0.0,0.0,,0.0
mid,other\1.csv,F2,0.995,0.0,0.0,,0.0
mid,other\1.csv,F2,0.999,0.0,0.0,,0.0
mid,other\1.csv,F3,0.9,1.0,0.0,-137.0,0.7405405405405405
mid,other\1.csv,F3,0.99,1.0,0.0,-137.0,0.7405405405405405
mid,other\1.csv,F3,0.995,1.0,0.0,-137.0,0.7405405405405405
mid,other\1.csv,F3,0.999,1.0,0.0,-137.0,0.7405405405405405
mid,other\10.csv,F0,0.9,1.0,0.0,-22.0,0.0
mid,other\10.csv,F0,0.99,0.0,0.0,,0.0
mid,other\10.csv,F0,0.995,0.0,0.0,,0.0
mid,other\10.csv,F0,0.999,0.0,0.0,,0.0
mid,other\10.csv,F2,0.9,1.0,21.05263157894737,358.0,0.3684210526315789
mid,other\10.csv,F2,0.99,1.0,0.0,105.0,0.0
mid,other\10.csv,F2,0.995,1.0,0.0,105.0,0.0
mid,other\10.csv,F2,0.999,1.0,0.0,105.0,0.0
mid,other\10.csv,F3,0.9,1.0,21.05263157894737,124.0,0.32748538011695905
mid,other\10.csv,F3,0.99,1.0,0.0,-6.0,0.0
mid,other\10.csv,F3,0.995,1.0,0.0,-3.0,0.0
mid,other\10.csv,F3,0.999,1.0,0.0,-1.0,0.0
mid,other\11.csv,F0,0.9,1.0,0.0,53.0,0.0
mid,other\11.csv,F0,0.99,0.0,0.0,,0.0
mid,other\11.csv,F0,0.995,0.0,0.0,,0.0
mid,other\11.csv,F0,0.999,0.0,0.0,,0.0
mid,other\11.csv,F2,0.9,1.0,0.0,-54.0,0.0
mid,other\11.csv,F2,0.99,1.0,0.0,6.0,0.0
mid,other\11.csv,F2,0.995,1.0,0.0,6.0,0.0
mid,other\11.csv,F2,0.999,1.0,0.0,47.0,0.0
mid,other\11.csv,F3,0.9,1.0,21.301775147928996,299.0,0.39644970414201186
mid,other\11.csv,F3,0.99,1.0,0.0,10.0,0.0
mid,other\11.csv,F3,0.995,1.0,0.0,28.0,0.0
mid,other\11.csv,F3,0.999,1.0,0.0,28.0,0.0
mid,other\12.csv,F0,0.9,1.0,0.0,71.0,0.0
mid,other\12.csv,F0,0.99,0.0,0.0,,0.0
mid,other\12.csv,F0,0.995,0.0,0.0,,0.0
mid,other\12.csv,F0,0.999,0.0,0.0,,0.0
mid,other\12.csv,F2,0.9,1.0,16.744186046511626,257.0,0.7953488372093023
mid,other\12.csv,F2,0.99,0.0,0.0,,0.0
mid,other\12.csv,F2,0.995,0.0,0.0,,0.0
mid,other\12.csv,F2,0.999,0.0,0.0,,0.0
mid,other\12.csv,F3,0.9,1.0,16.744186046511626,264.0,0.06511627906976744
mid,other\12.csv,F3,0.99,1.0,16.744186046511626,-2.0,0.7348837209302326
mid,other\12.csv,F3,0.995,1.0,16.744186046511626,-1.0,0.7162790697674418
mid,other\12.csv,F3,0.999,1.0,16.744186046511626,-1.0,0.7162790697674418
mid,other\13.csv,F0,0.9,0.0,0.0,,0.0
mid,other\13.csv,F0,0.99,0.0,0.0,,0.0
mid,other\13.csv,F0,0.995,0.0,0.0,,0.0
mid,other\13.csv,F0,0.999,0.0,0.0,,0.0
mid,other\13.csv,F2,0.9,1.0,18.274111675126903,145.0,0.0
mid,other\13.csv,F2,0.99,1.0,18.274111675126903,9.0,0.350253807106599
mid,other\13.csv,F2,0.995,1.0,18.274111675126903,9.0,0.350253807106599
mid,other\13.csv,F2,0.999,1.0,0.0,254.0,0.7106598984771574
mid,other\13.csv,F3,0.9,1.0,0.0,-65.0,0.17258883248730963
mid,other\13.csv,F3,0.99,1.0,0.0,-38.0,0.17258883248730963
mid,other\13.csv,F3,0.995,1.0,0.0,-36.0,0.17258883248730963
mid,other\13.csv,F3,0.999,1.0,0.0,-35.0,0.17258883248730963
mid,other\14.csv,F0,0.9,0.0,0.0,,0.0
mid,other\14.csv,F0,0.99,0.0,0.0,,0.0
mid,other\14.csv,F0,0.995,0.0,0.0,,0.0
mid,other\14.csv,F0,0.999,0.0,0.0,,0.0
mid,other\14.csv,F2,0.9,0.0,23.841059602649008,,0.0
mid,other\14.csv,F2,0.99,0.0,23.841059602649008,,0.0
mid,other\14.csv,F2,0.995,0.0,23.841059602649008,,0.0
mid,other\14.csv,F2,0.999,0.0,23.841059602649008,,0.0
mid,other\14.csv,F3,0.9,1.0,0.0,-151.0,1.0
mid,other\14.csv,F3,0.99,0.0,23.841059602649008,,0.5695364238410596
mid,other\14.csv,F3,0.995,0.0,23.841059602649008,,0.5496688741721855
mid,other\14.csv,F3,0.999,0.0,23.841059602649008,,0.543046357615894
mid,other\2.csv,F0,0.9,0.0,0.0,,0.0
mid,other\2.csv,F0,0.99,0.0,0.0,,0.0
mid,other\2.csv,F0,0.995,0.0,0.0,,0.0
mid,other\2.csv,F0,0.999,0.0,0.0,,0.0
mid,other\2.csv,F2,0.9,0.0,24.657534246575345,,0.565068493150685
mid,other\2.csv,F2,0.99,0.0,0.0,,0.0
mid,other\2.csv,F2,0.995,0.0,0.0,,0.0
mid,other\2.csv,F2,0.999,0.0,0.0,,0.0
mid,other\2.csv,F3,0.9,1.0,0.0,30.0,1.0
mid,other\2.csv,F3,0.99,1.0,0.0,30.0,1.0
mid,other\2.csv,F3,0.995,1.0,0.0,30.0,1.0
mid,other\2.csv,F3,0.999,1.0,0.0,30.0,1.0
mid,other\3.csv,F0,0.9,0.0,0.0,,0.0
mid,other\3.csv,F0,0.99,0.0,0.0,,0.0
mid,other\3.csv,F0,0.995,0.0,0.0,,0.0
mid,other\3.csv,F0,0.999,0.0,0.0,,0.0
mid,other\3.csv,F2,0.9,0.0,42.10526315789474,,0.0
mid,other\3.csv,F2,0.99,0.0,21.05263157894737,,0.0
mid,other\3.csv,F2,0.995,0.0,21.05263157894737,,0.0
mid,other\3.csv,F2,0.999,0.0,21.05263157894737,,0.0
mid,other\3.csv,F3,0.9,0.0,42.10526315789474,,0.2222222222222222
