method,quantile,events,hits,fp_events,healthy_hours,alarm_healthy,delay,recall,fp_per_hour,tia
F0,0.9,33,8,2,2.330555555555554,1176.0,46.0,0.24242424242424243,0.8581644815256263,0.1401668653158523
F0,0.99,33,5,2,2.330555555555554,113.0,10.0,0.15151515151515152,0.8581644815256263,0.013468414779499413
F0,0.995,33,4,2,2.330555555555554,89.0,11.5,0.12121212121212122,0.8581644815256263,0.010607866507747326
F0,0.999,33,3,1,2.330555555555554,52.00000000000001,10.0,0.09090909090909091,0.42908224076281315,0.006197854588796191
F2,0.9,33,23,18,2.330555555555554,3244.0,9.0,0.696969696969697,7.723480333730637,0.38665077473182385
F2,0.99,33,17,12,2.330555555555554,1563.0,42.0,0.5151515151515151,5.1489868891537585,0.18629320619785472
F2,0.995,33,14,11,2.330555555555554,1416.0,51.0,0.42424242424242425,4.719904648390945,0.16877234803337318
F2,0.999,33,14,10,2.330555555555554,1420.0,40.0,0.42424242424242425,4.290822407628132,0.1692491060786652
F3,0.9,33,15,15,2.330555555555554,1019.0,67.0,0.45454545454545453,6.436233611442198,0.12145411203814072
F3,0.99,33,11,10,2.330555555555554,620.0,116.0,0.3333333333333333,4.290822407628132,0.07389749702026227
F3,0.995,33,11,10,2.330555555555554,619.0,116.0,0.3333333333333333,4.290822407628132,0.07377830750893927
F3,0.999,33,10,10,2.330555555555554,612.0,108.5,0.30303030303030304,4.290822407628132,0.07294398092967824
