t_start,t_end,hit
2020-03-06 22:00:00,2020-03-06 23:30:00,False
2020-03-07 10:40:00,2020-03-07 18:40:00,False
2020-03-11 18:30:00,2020-03-11 22:30:00,False
2020-03-12 15:30:00,2020-03-12 16:10:00,False
2020-03-28 23:10:00,2020-03-29 00:00:00,False
2020-04-06 11:40:00,2020-04-06 14:50:00,False
2020-04-19 02:40:00,2020-04-19 03:20:00,False
2020-04-25 00:50:00,2020-04-27 02:10:00,False
2020-05-01 12:30:00,2020-05-01 22:10:00,False
2020-05-10 22:50:00,2020-05-11 01:00:00,False
2020-05-19 02:00:00,2020-05-19 06:30:00,False
2020-05-19 10:20:00,2020-05-19 11:20:00,False
2020-06-02 19:20:00,2020-06-02 21:20:00,False
2020-06-08 11:50:00,2020-06-08 12:40:00,False
2020-06-18 05:00:00,2020-06-18 05:40:00,False
2020-06-28 23:10:00,2020-06-28 23:50:00,False
2020-07-07 11:10:00,2020-07-07 12:00:00,False
2020-07-08 18:00:00,2020-07-08 19:30:00,False
2020-07-14 02:10:00,2020-07-14 03:20:00,False
2020-07-17 01:10:00,2020-07-17 06:00:00,False
2020-07-31 01:30:00,2020-07-31 06:30:00,False
