t_start,t_end,hit
2020-04-06 11:32:00,2020-04-06 14:14:00,False
2020-04-20 04:54:00,2020-04-21 00:10:00,False
2020-04-25 00:39:00,2020-04-27 01:46:00,False
2020-05-19 01:54:00,2020-05-19 06:08:00,False
2020-06-02 19:09:00,2020-06-02 21:00:00,False
2020-07-08 17:59:00,2020-07-08 18:20:00,False
2020-07-14 02:05:00,2020-07-14 03:00:00,False
2020-07-17 01:18:00,2020-07-17 04:46:00,False
2020-07-18 01:36:00,2020-07-18 01:47:00,False
2020-07-28 03:40:00,2020-07-28 03:51:00,False
2020-07-31 01:23:00,2020-07-31 06:09:00,False
2020-08-03 09:57:00,2020-08-03 13:49:00,False
2020-08-06 08:37:00,2020-08-06 09:00:00,False
