denominator,threshold,true_events,detected,event_recall,alarm_events,fp_events,usable_hours,fp_per_healthy_hour,tia_h,delay_min_median
running,2.3572,4,4,1.0,216,211,1561.3,0.1351,0.1438,966.0
all_stable,2.3572,4,4,1.0,216,211,3601.2,0.0586,0.1095,966.0
running,2.3954,4,3,0.75,205,201,1561.3,0.1287,0.1378,1023.0
all_stable,2.3954,4,3,0.75,205,201,3601.2,0.0558,0.1042,1023.0
running,2.4383,4,2,0.5,194,191,1561.3,0.1223,0.128,2026.0
all_stable,2.4383,4,2,0.5,194,191,3601.2,0.053,0.0951,2026.0
running,2.488,4,2,0.5,186,183,1561.3,0.1172,0.1217,2026.0
all_stable,2.488,4,2,0.5,186,183,3601.2,0.0508,0.0896,2026.0
running,2.5406,4,2,0.5,184,181,1561.3,0.1159,0.1146,2026.0
all_stable,2.5406,4,2,0.5,184,181,3601.2,0.0503,0.0834,2026.0
running,2.5962,4,2,0.5,179,176,1561.3,0.1127,0.1076,2026.0
all_stable,2.5962,4,2,0.5,179,176,3601.2,0.0489,0.0774,2026.0
running,2.6469,4,2,0.5,175,172,1561.3,0.1102,0.1021,2026.0
all_stable,2.6469,4,2,0.5,175,172,3601.2,0.0478,0.0721,2026.0
running,2.6967,4,2,0.5,173,170,1561.3,0.1089,0.0951,2026.0
all_stable,2.6967,4,2,0.5,173,170,3601.2,0.0472,0.0654,2026.0
running,2.7638,4,2,0.5,168,165,1561.3,0.1057,0.0919,2026.0
all_stable,2.7638,4,2,0.5,168,165,3601.2,0.0458,0.0624,2026.0
running,2.8245,4,2,0.5,159,156,1561.3,0.0999,0.0862,2026.0
all_stable,2.8245,4,2,0.5,159,156,3601.2,0.0433,0.0572,2026.0
running,2.884,4,2,0.5,154,151,1561.3,0.0967,0.0815,2026.0
all_stable,2.884,4,2,0.5,154,151,3601.2,0.0419,0.0533,2026.0
running,2.9453,4,2,0.5,147,144,1561.3,0.0922,0.0784,2026.0
all_stable,2.9453,4,2,0.5,147,144,3601.2,0.04,0.0512,2026.0
running,2.9995,4,2,0.5,144,141,1561.3,0.0903,0.0748,2026.0
all_stable,2.9995,4,2,0.5,144,141,3601.2,0.0392,0.049,2026.0
running,3.0793,4,2,0.5,134,131,1561.3,0.0839,0.0716,2026.0
all_stable,3.0793,4,2,0.5,134,131,3601.2,0.0364,0.0465,2026.0
running,3.1766,4,2,0.5,126,123,1561.3,0.0788,0.0663,2026.0
all_stable,3.1766,4,2,0.5,126,123,3601.2,0.0342,0.0423,2026.0
running,3.2683,4,2,0.5,118,115,1561.3,0.0737,0.0633,2026.0
all_stable,3.2683,4,2,0.5,118,115,3601.2,0.0319,0.04,2026.0
running,3.364,4,2,0.5,107,104,1561.3,0.0666,0.0495,2026.0
all_stable,3.364,4,2,0.5,107,104,3601.2,0.0289,0.0306,2026.0
running,3.4727,4,2,0.5,97,94,1561.3,0.0602,0.0481,2026.0
all_stable,3.4727,4,2,0.5,97,94,3601.2,0.0261,0.0292,2026.0
running,3.593,4,2,0.5,91,88,1561.3,0.0564,0.046,2026.0
all_stable,3.593,4,2,0.5,91,88,3601.2,0.0244,0.0272,2026.0
running,3.7511,4,2,0.5,86,83,1561.3,0.0532,0.0435,2026.0
all_stable,3.7511,4,2,0.5,86,83,3601.2,0.023,0.0248,2026.0
running,3.89,4,2,0.5,78,75,1561.3,0.048,0.0409,2026.0
all_stable,3.89,4,2,0.5,78,75,3601.2,0.0208,0.0231,2026.0
running,4.0319,4,2,0.5,72,70,1561.3,0.0448,0.0347,1134.0
all_stable,4.0319,4,2,0.5,72,70,3601.2,0.0194,0.0192,1134.0
running,4.2568,4,2,0.5,66,64,1561.3,0.041,0.0283,1140.0
all_stable,4.2568,4,2,0.5,66,64,3601.2,0.0178,0.0152,1140.0
running,4.9596,4,0,0.0,52,52,1561.3,0.0333,0.0239,
all_stable,4.9596,4,0,0.0,52,52,3601.2,0.0144,0.0122,
running,6.0004,4,0,0.0,41,41,1561.3,0.0263,0.018,
all_stable,6.0004,4,0,0.0,41,41,3601.2,0.0114,0.0093,
running,6.8561,4,0,0.0,33,33,1561.3,0.0211,0.0169,
all_stable,6.8561,4,0,0.0,33,33,3601.2,0.0092,0.0087,
running,9.2076,4,0,0.0,25,25,1561.3,0.016,0.0154,
all_stable,9.2076,4,0,0.0,25,25,3601.2,0.0069,0.008,
running,11.2558,4,0,0.0,15,15,1561.3,0.0096,0.0139,
all_stable,11.2558,4,0,0.0,15,15,3601.2,0.0042,0.0073,
running,14.2041,4,0,0.0,13,13,1561.3,0.0083,0.0135,
all_stable,14.2041,4,0,0.0,13,13,3601.2,0.0036,0.0071,
running,25.6101,4,0,0.0,0,0,1561.3,0.0,0.0,
all_stable,25.6101,4,0,0.0,0,0,3601.2,0.0,0.0,
