threshold,truth_events,timely_events,late_events,miss_events,timely_recall,alarm_events,false_alarm_events,healthy_minutes,healthy_hours,false_alarm_events_per_healthy_hour,healthy_alarm_minutes,TIA_H,median_timely_delay_minutes,median_late_delay_minutes
2.0,4,2,0,2,0.5,887,885,185263,3087.7166666666667,0.28661956245985437,124639,0.67276790292719,-24.0,
2.5,4,2,0,2,0.5,1048,1046,185263,3087.7166666666667,0.338761652353681,101388,0.5472652391465106,-36.5,
3.0,4,2,0,2,0.5,1098,1096,185263,3087.7166666666667,0.3549548479728818,87243,0.4709143218019788,-36.5,
3.5,4,2,0,2,0.5,1110,1108,185263,3087.7166666666667,0.35884121492148996,77085,0.41608416143536486,-29.0,
4.0,4,2,0,2,0.5,1108,1106,185263,3087.7166666666667,0.35819348709672194,69493,0.3751045810550407,-29.0,
4.5,4,2,0,2,0.5,1060,1058,185263,3087.7166666666667,0.34264801930228916,62780,0.3388696069911423,-12.5,
5.0,4,2,0,2,0.5,1042,1040,185263,3087.7166666666667,0.3368184688793769,57121,0.30832384232145654,-12.5,
5.5,4,2,0,2,0.5,1029,1027,185263,3087.7166666666667,0.3326082380183847,53623,0.2894425762294684,-12.5,
6.0,4,2,0,2,0.5,1006,1004,185263,3087.7166666666667,0.3251593680335523,50349,0.2717704020770472,-12.5,
6.5,4,2,0,2,0.5,973,971,185263,3087.7166666666667,0.3144718589248798,47422,0.2559712408845803,-12.5,
7.0,4,2,0,2,0.5,933,931,185263,3087.7166666666667,0.30151730242951913,44725,0.24141355802291878,-12.5,
7.5,4,2,0,2,0.5,880,878,185263,3087.7166666666667,0.2843525150731663,42163,0.22758456896412127,-12.5,
8.0,4,2,0,2,0.5,836,834,185263,3087.7166666666667,0.27010250292826954,39302,0.21214165807527677,-12.5,
8.5,4,2,0,2,0.5,795,793,185263,3087.7166666666667,0.25682408252052485,38204,0.20621494847864927,-12.5,
9.0,4,2,0,2,0.5,768,766,185263,3087.7166666666667,0.24807975688615644,36564,0.1973626682068195,-12.5,
9.5,4,2,0,2,0.5,724,722,185263,3087.7166666666667,0.23382974474125973,35054,0.1892120930784884,-12.5,
10.0,4,2,0,2,0.5,694,692,185263,3087.7166666666667,0.22411382736973923,34342,0.18536890798486477,-12.5,
10.5,4,2,0,2,0.5,668,666,185263,3087.7166666666667,0.21569336564775482,32116,0.17335355683541775,-12.5,
11.0,4,2,0,2,0.5,649,647,185263,3087.7166666666667,0.2095399513124585,31395,0.1694617921549365,-12.5,
11.5,4,2,0,2,0.5,628,626,185263,3087.7166666666667,0.20273880915239417,29772,0.16070127332494885,-12.5,
12.0,4,3,0,1,0.75,610,607,185263,3087.7166666666667,0.19658539481709786,28994,0.15650183792770278,-15.0,
12.5,4,3,0,1,0.75,591,588,185263,3087.7166666666667,0.19043198048180154,28482,0.1537381992086925,-15.0,
13.0,4,3,0,1,0.75,563,560,185263,3087.7166666666667,0.1813637909350491,27864,0.15040240091113713,-15.0,
13.5,4,3,0,1,0.75,544,541,185263,3087.7166666666667,0.17521037659975278,26553,0.1433259744255464,-15.0,
14.0,4,3,0,1,0.75,500,497,185263,3087.7166666666667,0.16096036445485606,26023,0.1404651765328209,-14.0,
14.5,4,3,0,1,0.75,462,459,185263,3087.7166666666667,0.14865353578426346,25302,0.13657341185233965,-10.0,
15.0,4,3,0,1,0.75,422,419,185263,3087.7166666666667,0.1356989792889028,23524,0.12697624458202664,-10.0,
18.0,4,3,0,1,0.75,219,216,185263,3087.7166666666667,0.06995460507494751,15997,0.0863475167734518,-10.0,
22.0,4,3,0,1,0.75,186,183,185263,3087.7166666666667,0.05926709596627497,10752,0.05803641309921571,-10.0,
30.0,4,3,0,1,0.75,124,121,185263,3087.7166666666667,0.039187533398465965,7642,0.041249466973977536,19.0,
