unit,true_RUL,pred_trend,pred_gb
1,112,288.9,117.0
2,98,0.0,123.8
3,69,73.1,56.9
4,82,138.2,100.1
5,91,300.0,99.1
6,93,0.0,117.0
7,91,283.6,92.9
8,95,300.0,97.9
9,111,300.0,112.0
10,96,276.9,97.7
11,97,300.0,77.4
12,124,0.0,90.6
13,95,280.5,83.8
14,107,127.1,101.5
15,83,81.6,114.8
16,84,300.0,101.3
17,50,83.8,51.6
18,28,19.2,78.0
19,87,123.6,108.3
20,16,36.0,9.3
21,57,194.2,81.5
22,111,300.0,111.6
23,113,0.0,116.9
24,20,58.9,20.2
25,145,109.4,106.8
26,119,300.0,109.0
27,66,0.0,118.1
28,97,93.4,109.6
29,90,300.0,96.1
30,115,195.4,106.8
31,8,52.0,12.2
32,48,101.5,55.3
33,106,300.0,106.1
34,7,0.0,2.6
35,11,3.0,5.9
36,19,32.7,20.0
37,21,24.9,67.7
38,50,176.2,54.8
39,142,0.0,121.4
40,28,48.8,33.2
41,18,31.2,57.3
42,10,21.0,15.4
43,59,94.8,84.3
44,109,300.0,102.5
45,114,0.0,50.3
46,47,120.0,49.7
47,135,300.0,110.8
48,92,78.0,102.9
49,21,0.0,19.7
50,79,205.8,99.5
51,114,0.0,102.3
52,29,33.9,41.0
53,26,79.7,38.1
54,97,168.0,123.0
55,137,300.0,111.4
56,15,26.6,14.8
57,103,300.0,98.2
58,37,47.0,54.3
59,114,0.0,115.3
60,100,300.0,109.7
61,21,21.5,34.0
62,54,119.3,52.4
63,72,201.8,85.8
64,28,116.0,38.8
65,128,235.6,120.2
66,14,73.9,18.3
67,77,0.0,109.2
68,8,0.4,6.2
69,121,0.0,113.7
70,94,168.2,109.3
71,118,300.0,107.1
72,50,71.8,89.0
73,131,300.0,106.7
74,126,300.0,91.3
75,113,159.9,106.1
76,10,32.8,5.0
77,34,58.6,54.1
78,107,300.0,125.5
79,63,153.6,107.1
80,90,0.0,92.0
81,8,13.6,3.6
82,9,0.6,3.8
83,137,300.0,117.2
84,58,0.0,72.2
85,118,0.0,100.0
86,89,0.0,108.8
87,116,300.0,115.3
88,115,134.2,120.7
89,136,300.0,110.5
90,28,85.7,25.6
91,38,0.0,25.4
92,20,171.2,20.5
93,85,300.0,45.7
94,55,0.0,53.9
95,128,300.0,112.8
96,137,130.6,117.3
97,82,259.9,95.2
98,59,53.7,87.4
99,117,0.0,123.6
100,20,29.6,10.5
