threshold,alarm_events,timely,late,miss,timely_recall,false_alarm_events,fp_per_hour_all_stable,fp_per_hour_running,tia_h_all_stable,tia_h_running,healthy_all_stable_minutes,healthy_running_minutes
2.0,887,2,0,2,0.5,885,0.5515736989716422,1.2309903560830862,0.5935597797860185,0.6554154302670623,96270,43136
2.5,1048,2,0,2,0.5,1046,0.6519164848862574,1.454933234421365,0.4560506907655552,0.5274712537091988,96270,43136
3.0,1098,2,0,2,0.5,1096,0.6830788407603615,1.5244807121661723,0.3926664589176275,0.468402262611276,96270,43136
3.5,1110,2,0,2,0.5,1108,0.6905578061701465,1.541172106824926,0.3513555624805235,0.4297570474777448,96270,43136
4.0,1108,2,0,2,0.5,1106,0.6893113119351822,1.5383902077151337,0.3231120806066272,0.4030044510385757,96270,43136
4.5,1060,2,0,2,0.5,1058,0.6593954502960424,1.4716246290801187,0.2939545029604238,0.37555637982195844,96270,43136
5.0,1042,2,0,2,0.5,1040,0.6481770021813649,1.4465875370919883,0.26956476576295835,0.3508670252225519,96270,43136
5.5,1029,2,0,2,0.5,1027,0.6400747896540978,1.4285051928783383,0.25626882725667394,0.33939169139465875,96270,43136
6.0,1006,2,0,2,0.5,1004,0.62574010595201,1.396513353115727,0.24460371870780098,0.328240912462908,96270,43136
6.5,973,2,0,2,0.5,971,0.6051729510751013,1.3506120178041543,0.2338007686714449,0.3157687314540059,96270,43136
7.0,933,2,0,2,0.5,931,0.580243066375818,1.2949740356083086,0.2219486859873273,0.3016969584569733,96270,43136
7.5,880,2,0,2,0.5,878,0.5472109691492677,1.2212537091988132,0.2072504414667082,0.2857705860534125,96270,43136
8.0,836,2,0,2,0.5,834,0.519788095980056,1.1600519287833828,0.18952944842630104,0.2626808234421365,96270,43136
8.5,795,2,0,2,0.5,793,0.49423496416329077,1.103022997032641,0.1840137114365846,0.2578125,96270,43136
9.0,768,2,0,2,0.5,766,0.4774072919912745,1.065467359050445,0.17481042900176585,0.24659217359050445,96270,43136
9.5,724,2,0,2,0.5,722,0.44998441882206297,1.004265578635015,0.16566947127869533,0.23613686943620177,96270,43136
10.0,694,2,0,2,0.5,692,0.4312870052976005,0.9625370919881306,0.1616183650150618,0.23112945103857566,96270,43136
10.5,668,2,0,2,0.5,666,0.4150825802430664,0.926372403560831,0.14237041653682353,0.22878801928783382,96270,43136
11.0,649,2,0,2,0.5,647,0.4032408850109068,0.8999443620178043,0.13890100758283994,0.22512518545994065,96270,43136
11.5,628,2,0,2,0.5,626,0.3901526955437831,0.8707344213649852,0.1272151241300509,0.22134643916913946,96270,43136
12.0,610,3,0,1,0.75,607,0.37831100031162357,0.8443063798219586,0.12371455282019321,0.21721995548961423,96270,43136
12.5,591,3,0,1,0.75,588,0.366469305079464,0.8178783382789319,0.12223953464215229,0.21534217359050445,96270,43136
13.0,563,3,0,1,0.75,560,0.34901838578996575,0.7789317507418398,0.11952840968110523,0.21211980712166173,96270,43136
13.5,544,3,0,1,0.75,541,0.3371766905578062,0.7525037091988132,0.11125999792250961,0.20140949554896143,96270,43136
14.0,500,3,0,1,0.75,497,0.3097538173885946,0.6913019287833828,0.11003427859146152,0.20041264836795253,96270,43136
14.5,462,3,0,1,0.75,459,0.2860704269242755,0.6384458456973294,0.10869429728887504,0.19902169881305637,96270,43136
15.0,422,3,0,1,0.75,419,0.2611405422249922,0.5828078635014837,0.103895294484263,0.19229877596439168,96270,43136
18.0,219,3,0,1,0.75,216,0.13462137737612964,0.3004451038575668,0.07785395242547004,0.15669046735905046,96270,43136
22.0,186,3,0,1,0.75,183,0.11405422249922094,0.2545437685459941,0.034756414251584086,0.06498052670623146,96270,43136
30.0,124,3,0,1,0.75,121,0.07541290121533188,0.16830489614243324,0.02923028980990963,0.05586980712166172,96270,43136
