threshold,event_id,truth_start,truth_end,classification,alarm_onset,alarm_end,delay_minutes
2.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
2.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 22:34:00,2020-05-30 07:53:00,-56.0
2.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 10:08:00,2020-06-06 15:56:00,8.0
2.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
2.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
2.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:00:00,2020-05-30 07:41:00,-30.0
2.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:17:00,2020-06-05 09:28:00,-43.0
2.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
3.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
3.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:00:00,2020-05-30 07:19:00,-30.0
3.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:17:00,2020-06-05 09:27:00,-43.0
3.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
3.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
3.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:57:00,-15.0
3.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:17:00,2020-06-05 09:25:00,-43.0
3.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
4.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
4.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:55:00,-15.0
4.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:17:00,2020-06-05 09:24:00,-43.0
4.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
4.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
4.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:54:00,-15.0
4.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
4.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
