threshold,alarm_events,timely,late,miss,timely_recall,false_alarm_events,false_alarm_events_representative_rule,false_alarm_fraction_of_alarm_events,false_alarms_per_all_stable_hour,false_alarms_per_running_hour,tia_h_all_stable,tia_h_running,alarm_minutes_all_stable,alarm_minutes_running,healthy_all_stable_minutes,healthy_running_minutes,delay_count,delay_min_minutes,delay_p25_minutes,delay_median_minutes,delay_p75_minutes,delay_max_minutes,delay_mean_minutes
2.0,362,0,0,4,0.0,362,362,1.0,0.22561545652851356,0.5035237388724036,0.7956892074374156,0.8302577893175074,76601,35814,96270,43136,0,,,,,,
2.5,424,1,0,3,0.25,423,423,0.9976415094339622,0.2636335306949205,0.5883716617210683,0.6615041030435235,0.7163158382789317,63683,30899,96270,43136,1,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0
3.0,522,1,0,3,0.25,521,521,0.9980842911877394,0.32471174820816456,0.7246847181008903,0.5843253349953257,0.6606546735905044,56253,28498,96270,43136,1,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0
3.5,569,1,0,3,0.25,568,568,0.9982425307557118,0.3540043627298224,0.790059347181009,0.5309130570271112,0.6154024480712166,51111,26546,96270,43136,1,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0
4.0,588,1,0,3,0.25,587,587,0.9982993197278912,0.36584605796198194,0.8164873887240357,0.5045600914095772,0.5924285979228486,48574,25555,96270,43136,1,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0
4.5,577,1,0,3,0.25,576,576,0.9982668977469671,0.358990339669679,0.8011869436201781,0.4654409473356186,0.5579098664688428,44808,24066,96270,43136,1,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0
5.0,582,2,0,2,0.5,580,580,0.9965635738831615,0.3614833281396074,0.8067507418397627,0.42771372182403655,0.5234143175074184,41176,22578,96270,43136,2,-11.0,-4.0,3.0,10.0,17.0,3.0
5.5,584,2,0,2,0.5,582,582,0.9965753424657534,0.3627298223745715,0.8095326409495549,0.38627817596343617,0.48289132047477745,37187,20830,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
6.0,557,2,0,2,0.5,555,555,0.9964093357271095,0.3459021502025553,0.7719770029673592,0.3636023683390464,0.4606361275964392,35004,19870,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
6.5,541,2,0,2,0.5,539,539,0.9963031423290203,0.335930196322842,0.7497218100890208,0.3422457671133271,0.439771884272997,32948,18970,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
7.0,509,2,0,2,0.5,507,507,0.9960707269155207,0.3159862885634154,0.7052114243323443,0.32129427651397113,0.4147116097922849,30931,17889,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
7.5,490,2,0,2,0.5,488,488,0.9959183673469387,0.3041445933312558,0.6787833827893176,0.29240677261867665,0.38418026706231456,28150,16572,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
8.0,456,2,0,2,0.5,454,454,0.9956140350877193,0.28295419133686506,0.6314910979228487,0.26773657421834424,0.35779859050445106,25775,15434,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
8.5,429,2,0,2,0.5,427,427,0.9953379953379954,0.26612651916484886,0.5939354599406529,0.25342266542017244,0.34391227744807124,24397,14835,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
9.0,418,2,0,2,0.5,416,416,0.9952153110047847,0.25927080087254595,0.5786350148367952,0.24633842318479277,0.33647069732937684,23715,14514,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
9.5,396,2,0,2,0.5,394,394,0.9949494949494949,0.24555936428794017,0.5480341246290802,0.2317648280876701,0.3186897255192878,22312,13747,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
10.0,388,2,0,2,0.5,386,386,0.9948453608247423,0.2405733873480835,0.536906528189911,0.21816765347460268,0.30216060830860536,21003,13034,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
10.5,379,2,0,2,0.5,377,377,0.9947229551451188,0.2349641632907448,0.5243879821958457,0.21373221148852187,0.29666635756676557,20576,12797,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
11.0,369,2,0,2,0.5,367,367,0.994579945799458,0.22873169211592395,0.5104784866468843,0.21061597590111145,0.2936758160237389,20276,12668,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
11.5,353,2,0,2,0.5,351,351,0.9943342776203966,0.21875973823621067,0.488223293768546,0.157182923028981,0.25275871661721067,15132,10903,96270,43136,2,-11.0,-9.75,-8.5,-7.25,-6.0,-8.5
12.0,346,3,0,1,0.75,343,343,0.9913294797687862,0.213773761296354,0.4770956973293769,0.15407707489352862,0.24960589762611277,14833,10767,96270,43136,3,-50.0,-30.5,-11.0,-8.5,-6.0,-22.333333333333332
12.5,340,3,0,1,0.75,337,337,0.9911764705882353,0.2100342785914615,0.46875000000000006,0.1515840864236003,0.2468935459940653,14593,10650,96270,43136,3,-33.0,-22.0,-11.0,-8.5,-6.0,-16.666666666666668
13.0,324,3,0,1,0.75,321,321,0.9907407407407407,0.2000623247117482,0.44649480712166173,0.14967279526332192,0.24531713649851633,14409,10582,96270,43136,3,-20.0,-15.5,-11.0,-8.5,-6.0,-12.333333333333334
13.5,313,3,0,1,0.75,310,310,0.9904153354632588,0.19320660641944531,0.4311943620178042,0.1475122052560507,0.2433002596439169,14201,10495,96270,43136,3,-18.0,-14.5,-11.0,-8.5,-6.0,-11.666666666666666
14.0,293,3,0,1,0.75,290,290,0.9897610921501706,0.1807416640698037,0.40337537091988135,0.14551781448010803,0.24167748516320475,14009,10425,96270,43136,3,-11.0,-10.5,-10.0,-8.0,-6.0,-9.0
14.5,281,3,0,1,0.75,278,278,0.9893238434163701,0.1732626986600187,0.3866839762611276,0.1387140334475953,0.2335404302670623,13354,10074,96270,43136,3,-11.0,-8.5,-6.0,-0.5,5.0,-4.0
15.0,260,3,0,1,0.75,257,257,0.9884615384615385,0.16017450919289497,0.35747403560830865,0.1343097538173886,0.22911257418397626,12930,9883,96270,43136,3,-11.0,-8.5,-6.0,1.0,8.0,-3.0
18.0,120,3,0,1,0.75,117,117,0.975,0.07291991274540355,0.1627410979228487,0.11183130778020152,0.2011544881305638,10766,8677,96270,43136,3,-11.0,-8.5,-6.0,9.5,25.0,2.6666666666666665
22.0,112,3,0,1,0.75,109,109,0.9732142857142857,0.0679339358055469,0.15161350148367952,0.05090890204632804,0.0840597181008902,4901,3626,96270,43136,3,-11.0,-8.5,-6.0,21.5,49.0,10.666666666666666
30.0,77,3,0,1,0.75,74,74,0.961038961038961,0.046120286693674045,0.10293026706231455,0.03525501194556975,0.060877225519287835,3394,2626,96270,43136,3,18.0,20.5,23.0,35.0,47.0,29.333333333333332
