threshold,event_id,truth_start,truth_end,classification,alarm_onset,alarm_end,delay_minutes
2.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
2.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,miss,,,
2.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,miss,,,
2.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
2.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
2.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:04:00,2020-06-01 01:47:00,-26.0
2.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,miss,,,
2.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
3.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
3.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:04:00,2020-06-01 01:46:00,-26.0
3.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,miss,,,
3.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
3.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
3.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 12:18:00,-11.0
3.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,miss,,,
3.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
4.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
4.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 12:17:00,-11.0
4.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,miss,,,
4.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
4.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
4.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 11:56:00,-11.0
4.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,miss,,,
4.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
5.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
5.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 10:42:00,-11.0
5.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 10:17:00,2020-06-08 16:00:00,17.0
5.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
5.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
5.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:40:00,-11.0
5.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
5.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
6.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
6.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
6.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
6.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
6.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
6.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
6.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
6.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
7.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
7.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
7.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
7.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
7.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
7.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
7.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
7.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
8.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
8.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
8.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
8.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
8.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
8.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
