unit,true_RUL,pred_gradient_boosting,pred_random_forest,pred_ridge,pred_constant_125,pred_constant_true_mean_oracle,pred_constant_train_median_diagnostic,pred_trend_extrapolation
1,112.0,116.80312511476228,111.255,124.38540878519079,125.0,75.52,98.0,288.93519643746686
2,98.0,121.2385982075307,114.725,111.43121246001309,125.0,75.52,98.0,0.0
3,69.0,57.19083666493514,56.92,70.4523639088502,125.0,75.52,98.0,73.11539750918811
4,82.0,100.43223833616085,110.565,88.77455541747317,125.0,75.52,98.0,138.1653100383373
5,91.0,100.03013064055024,103.95,85.50581191673292,125.0,75.52,98.0,300.0
6,93.0,115.76534835545604,114.32,103.37692799119229,125.0,75.52,98.0,0.0
7,91.0,92.703237480105,80.62,95.38669331213752,125.0,75.52,98.0,283.5513446439233
8,95.0,97.5872260740799,93.965,85.20728022591129,125.0,75.52,98.0,300.0
9,111.0,110.06668205761656,116.49,93.30795076779896,125.0,75.52,98.0,300.0
10,96.0,95.65602790770117,100.185,92.932904580299,125.0,75.52,98.0,276.93732701449875
11,97.0,76.22915392837585,68.555,83.83502689055841,125.0,75.52,98.0,300.0
12,124.0,90.84997837670021,86.63,83.21467610520578,125.0,75.52,98.0,0.0
13,95.0,86.67034458131813,85.5,82.36000060707383,125.0,75.52,98.0,280.5414982042388
14,107.0,99.72648056176119,99.335,95.821904103478,125.0,75.52,98.0,127.09984562241772
15,83.0,115.07070425162112,118.12,112.2639969392261,125.0,75.52,98.0,81.5680216535656
16,84.0,102.83984148188054,99.05,103.43765553001978,125.0,75.52,98.0,300.0
17,50.0,53.33408912556366,56.65,69.60429342814113,125.0,75.52,98.0,83.76356864610962
18,28.0,76.4314032250504,96.44,73.01544043401394,125.0,75.52,98.0,19.165449366915713
19,87.0,109.47196052485272,108.11,102.9450197432036,125.0,75.52,98.0,123.5647295481393
20,16.0,9.940135168443893,16.295,12.5620999149603,125.0,75.52,98.0,35.998315028670405
21,57.0,81.36805451142116,79.195,91.60445199302069,125.0,75.52,98.0,194.18564846262586
22,111.0,110.09710995886185,116.0,110.17454801660219,125.0,75.52,98.0,300.0
23,113.0,116.58838869830417,116.695,122.54906066190827,125.0,75.52,98.0,0.0
24,20.0,18.59788218727263,30.68,38.61852867332654,125.0,75.52,98.0,58.935562346336404
25,145.0,107.36942618743704,116.435,109.7358962172237,125.0,75.52,98.0,109.40919072779919
