告警起点,告警结束,持续分钟,峰值分数,结束分数,趋势斜率每分,上升,RUL估计小时
2020-02-02 07:45:00,2020-02-02 08:05:00,20,24.34,0.66,-0.0028,False,
2020-02-04 03:58:00,2020-02-04 04:16:00,18,2.5,1.55,0.0024,False,
2020-02-04 16:17:00,2020-02-04 16:43:00,26,7.28,0.89,0.0008,False,
2020-02-04 22:26:00,2020-02-04 22:45:00,19,7.01,1.25,0.001,False,
2020-02-05 04:32:00,2020-02-05 04:50:00,18,3.78,1.68,0.004,False,
2020-02-06 07:56:00,2020-02-06 08:17:00,21,3.81,1.69,0.0328,False,
2020-02-06 23:37:00,2020-02-07 05:28:00,351,4.61,1.72,0.0102,False,
2020-02-07 12:25:00,2020-02-07 15:46:00,201,4.98,1.58,0.0035,False,
2020-02-07 16:52:00,2020-02-07 18:53:00,121,5.3,1.22,-0.0001,False,
2020-02-08 06:36:00,2020-02-08 06:54:00,18,5.32,1.43,0.0008,False,
2020-02-08 15:52:00,2020-02-08 16:05:00,13,3.91,1.54,0.0023,False,
2020-02-08 18:14:00,2020-02-08 19:02:00,48,6.06,1.03,0.0021,False,
2020-02-08 20:59:00,2020-02-08 21:11:00,12,4.49,1.16,-0.0025,False,
2020-02-08 23:27:00,2020-02-08 23:48:00,21,7.51,0.87,-0.0,False,
2020-02-09 04:42:00,2020-02-09 04:58:00,16,2.73,1.56,-0.0037,False,
2020-02-09 16:33:00,2020-02-09 16:44:00,11,4.42,0.77,0.0012,False,
2020-02-09 20:05:00,2020-02-09 20:16:00,11,4.62,0.59,-0.0016,False,
2020-02-09 22:50:00,2020-02-09 23:07:00,17,6.36,1.34,0.0016,False,
2020-02-10 04:43:00,2020-02-10 05:26:00,43,2.79,0.97,-0.0031,False,
2020-02-10 17:43:00,2020-02-10 17:54:00,11,4.86,0.8,-0.0008,False,
2020-02-10 23:27:00,2020-02-10 23:39:00,12,4.47,1.02,0.0003,False,
2020-02-11 04:44:00,2020-02-11 06:03:00,79,3.85,1.45,0.0048,False,
2020-02-11 23:13:00,2020-02-11 23:25:00,12,4.88,1.27,0.0008,False,
2020-02-13 04:59:00,2020-02-13 05:10:00,11,3.49,0.94,-0.0007,False,
2020-02-16 14:21:00,2020-02-16 17:36:00,195,5.05,1.62,0.0018,False,
2020-02-17 04:41:00,2020-02-17 05:34:00,53,4.61,0.8,0.0096,False,
2020-02-17 18:26:00,2020-02-17 18:53:00,27,5.82,0.53,-0.0012,False,
2020-02-20 01:28:00,2020-02-20 05:39:00,251,4.85,1.34,0.0105,False,
2020-02-22 21:16:00,2020-02-22 21:28:00,12,4.16,0.57,-0.0003,False,
2020-02-22 23:37:00,2020-02-22 23:48:00,11,4.98,1.09,-0.0003,False,
2020-02-23 05:07:00,2020-02-23 05:50:00,43,3.82,1.69,0.005,False,
2020-02-24 07:50:00,2020-02-24 08:13:00,23,3.79,1.86,-0.1007,False,
2020-02-25 07:45:00,2020-02-25 08:07:00,22,5.09,1.62,-0.0019,False,
2020-02-25 21:06:00,2020-02-25 21:33:00,27,5.87,0.63,0.0002,False,
2020-02-25 22:18:00,2020-02-25 22:29:00,11,3.94,0.77,-0.0001,False,
2020-02-26 04:27:00,2020-02-26 04:43:00,16,3.61,1.58,0.0071,False,
2020-02-26 08:48:00,2020-02-26 09:00:00,12,3.33,1.68,-0.002,False,
2020-02-26 17:24:00,2020-02-26 17:35:00,11,5.77,1.21,0.0004,False,
2020-02-27 08:28:00,2020-02-27 08:39:00,11,4.83,1.25,-0.0001,False,
2020-02-28 17:43:00,2020-02-28 18:03:00,20,3.07,0.54,0.0007,False,
2020-03-01 04:38:00,2020-03-01 11:49:00,431,4.06,1.06,-0.0003,False,
2020-03-01 12:34:00,2020-03-02 00:17:00,703,5.05,1.39,-0.0,False,
2020-03-02 02:42:00,2020-03-02 09:25:00,403,5.77,1.02,0.0003,False,
2020-03-02 09:59:00,2020-03-02 11:13:00,74,5.6,0.95,0.0013,False,
2020-03-02 11:54:00,2020-03-03 03:16:00,922,9.56,1.68,0.0004,False,
2020-03-03 03:57:00,2020-03-03 14:53:00,656,7.36,1.19,0.0003,False,
2020-03-03 21:57:00,2020-03-04 02:24:00,267,5.39,1.1,-0.0002,False,
2020-03-05 10:38:00,2020-03-05 11:19:00,41,3.93,0.8,0.0,False,
2020-03-06 07:50:00,2020-03-06 09:03:00,73,4.06,1.84,0.0002,False,
2020-03-07 10:43:00,2020-03-07 18:36:00,473,13.52,1.33,-0.3113,False,
2020-03-09 18:10:00,2020-03-09 18:50:00,40,2.54,0.28,-0.0001,False,
2020-03-10 01:19:00,2020-03-10 06:21:00,302,4.78,1.69,0.003,False,
2020-03-11 18:30:00,2020-03-11 23:01:00,271,13.76,1.32,0.0067,False,
2020-03-12 01:52:00,2020-03-12 10:41:00,529,3.43,1.71,0.0005,False,
2020-03-12 11:26:00,2020-03-12 12:31:00,65,14.52,1.01,-0.0008,False,
2020-03-12 15:31:00,2020-03-12 15:58:00,27,9.72,1.22,0.0013,False,
2020-03-12 17:33:00,2020-03-12 17:57:00,24,4.13,1.03,-0.0003,False,
2020-03-14 06:33:00,2020-03-14 07:39:00,66,16.7,1.78,0.0103,False,
2020-03-15 08:55:00,2020-03-15 09:32:00,37,9.6,1.11,-0.017,False,
2020-03-15 23:29:00,2020-03-16 08:13:00,524,16.62,1.66,-0.0134,False,
2020-03-20 06:34:00,2020-03-20 06:52:00,18,3.05,1.83,-0.1929,False,
2020-03-21 03:08:00,2020-03-21 03:29:00,21,12.45,0.83,0.0025,False,
2020-03-22 00:58:00,2020-03-22 01:37:00,39,6.68,0.81,0.0012,False,
2020-03-24 10:19:00,2020-03-24 10:38:00,19,5.08,1.51,-0.0001,False,
2020-03-24 12:48:00,2020-03-24 13:55:00,67,7.98,1.0,0.0027,False,
