策略,提前期,计划更换,未预防失效,过度维修,总成本,单单元成本
跑坏为止,,0,100,0,5000000,50000.0
固定周期更换,50.0,67,33,67,2186000,21860.0
固定周期更换,75.0,57,43,57,2606000,26060.0
固定周期更换,100.0,33,67,33,3614000,36140.0
固定周期更换,125.0,11,89,11,4538000,45380.0
固定周期更换,150.0,0,100,0,5000000,50000.0
固定周期更换,200.0,0,100,0,5000000,50000.0
AI 预测性维护,5.0,4,0,1,35000,350.0
AI 预测性维护,10.0,3,1,0,74000,740.0
AI 预测性维护,15.0,3,2,0,124000,1240.0
AI 预测性维护,20.0,2,1,0,66000,660.0
AI 预测性维护,30.0,1,8,0,408000,4080.0
AI 预测性维护,40.0,0,6,0,300000,3000.0
AI 预测性维护,50.0,1,6,0,308000,3080.0
