策略,参数,计划更换,失效,过度更换,总成本,单台成本,相对跑坏为止节省%
① 跑坏为止,—,0,100,0,5000000,50000,0.0
② 固定周期,25 周期,81,19,70,1808000,18080,63.800000000000004
② 固定周期,50 周期,70,30,34,2162000,21620,56.8
② 固定周期,75 周期,57,43,0,2606000,26060,47.9
② 固定周期,100 周期,34,66,0,3572000,35720,28.599999999999998
② 固定周期,125 周期,11,89,0,4538000,45380,9.2
② 固定周期,150 周期,0,100,0,5000000,50000,0.0
③ 点估计 RUL,提前期 10,2,98,0,4916000,49160,1.7000000000000002
③ 点估计 RUL,提前期 15,3,97,0,4874000,48740,2.5
③ 点估计 RUL,提前期 20,2,98,0,4916000,49160,1.7000000000000002
③ 点估计 RUL,提前期 30,1,99,0,4958000,49580,0.8
③ 点估计 RUL,提前期 40,0,100,0,5000000,50000,0.0
③ 点估计 RUL,提前期 50,1,99,0,4958000,49580,0.8
④ 分类式预警,提前期 10 / 阈值 0.3,2,98,0,4916000,49160,1.7000000000000002
④ 分类式预警,提前期 10 / 阈值 0.5,2,98,0,4916000,49160,1.7000000000000002
④ 分类式预警,提前期 10 / 阈值 0.7,1,99,0,4958000,49580,0.8
④ 分类式预警,提前期 15 / 阈值 0.3,3,97,0,4874000,48740,2.5
④ 分类式预警,提前期 15 / 阈值 0.5,2,98,0,4916000,49160,1.7000000000000002
④ 分类式预警,提前期 15 / 阈值 0.7,2,98,0,4916000,49160,1.7000000000000002
④ 分类式预警,提前期 20 / 阈值 0.3,5,95,0,4790000,47900,4.2
④ 分类式预警,提前期 20 / 阈值 0.5,3,97,0,4874000,48740,2.5
④ 分类式预警,提前期 20 / 阈值 0.7,1,99,0,4958000,49580,0.8
④ 分类式预警,提前期 30 / 阈值 0.3,1,99,0,4958000,49580,0.8
④ 分类式预警,提前期 30 / 阈值 0.5,1,99,0,4958000,49580,0.8
④ 分类式预警,提前期 30 / 阈值 0.7,1,99,0,4958000,49580,0.8
④ 分类式预警,提前期 40 / 阈值 0.3,3,97,1,4877000,48770,2.5
④ 分类式预警,提前期 40 / 阈值 0.5,0,100,0,5000000,50000,0.0
④ 分类式预警,提前期 40 / 阈值 0.7,0,100,0,5000000,50000,0.0
④ 分类式预警,提前期 50 / 阈值 0.3,7,93,1,4709000,47090,5.800000000000001
④ 分类式预警,提前期 50 / 阈值 0.5,3,97,0,4874000,48740,2.5
④ 分类式预警,提前期 50 / 阈值 0.7,0,100,0,5000000,50000,0.0
