策略,参数,计划更换,失效,浪费周期,总成本,单台成本,节省%
跑坏为止,—,0,100,0,5000000,50000,0.0
AI 预测,提前期 10,8,92,95,4669700,46697,6.6000000000000005
AI 预测,提前期 20,17,83,970,4344200,43442,13.100000000000001
AI 预测,提前期 30,27,73,2679,4026740,40267,19.5
AI 预测,提前期 40,36,64,4098,3733880,37338,25.3
AI 预测,提前期 60,50,50,6498,3289880,32898,34.2
固定周期,25 周期,100,0,18148,1888880,18888,62.2
固定周期,50 周期,93,7,14881,1986860,19868,60.3
固定周期,75 周期,80,20,11233,2313980,23139,53.7
固定周期,100 周期,70,30,8266,2555960,25559,48.9
固定周期,150 周期,37,63,3177,3636620,36366,27.3
