失效代价,浪费单价,跑坏为止,固定周期最优,AI最优,最优策略,AI相对固定周期节省
20000,20,20000,11629,15299,固定周期最优,-0.316
20000,60,20000,16559,17898,固定周期最优,-0.081
20000,120,20000,19372,19124,AI 最优,0.013
50000,20,50000,11629,30299,固定周期最优,-1.605
50000,60,50000,18888,32898,固定周期最优,-0.742
50000,120,50000,28797,36797,固定周期最优,-0.278
100000,20,100000,11629,55299,固定周期最优,-3.755
100000,60,100000,18888,57898,固定周期最优,-2.065
100000,120,100000,29777,61797,固定周期最优,-1.075
150000,20,150000,11629,80299,固定周期最优,-5.905
150000,60,150000,18888,82898,固定周期最优,-3.389
150000,120,150000,29777,86797,固定周期最优,-1.915
