失效代价,更换代价,浪费单价,比值,不动成本,最优AI成本,最优AI参数,最优固定周期成本,最优固定参数,获胜方,AI相对固定节省
20000,4000,60,5.0,780000,407720,P40>=0.2,478820,125 周期,AI,0.148
20000,8000,60,2.5,780000,564200,P40>=0.5,694460,150 周期,AI,0.188
20000,16000,60,1.2,780000,716000,P20>=0.5,990460,150 周期,AI,0.277
35000,4000,60,8.8,1365000,452720,P40>=0.2,523820,125 周期,AI,0.136
35000,8000,60,4.4,1365000,652720,P40>=0.2,759820,125 周期,AI,0.141
35000,16000,60,2.2,1365000,995200,P40>=0.5,1215460,150 周期,AI,0.181
50000,4000,60,12.5,1950000,497720,P40>=0.2,548740,100 周期,AI,0.093
50000,8000,60,6.2,1950000,697720,P40>=0.2,804820,125 周期,AI,0.133
50000,16000,60,3.1,1950000,1097720,P40>=0.2,1276820,125 周期,AI,0.14
80000,4000,60,20.0,3120000,582560,P60>=0.5,548740,100 周期,固定周期,-0.062
80000,8000,60,10.0,3120000,787720,P40>=0.2,828740,100 周期,AI,0.049
80000,16000,60,5.0,3120000,1187720,P40>=0.2,1366820,125 周期,AI,0.131
120000,4000,60,30.0,4680000,662560,P60>=0.5,548740,100 周期,固定周期,-0.207
120000,8000,60,15.0,4680000,882560,P60>=0.5,828740,100 周期,固定周期,-0.065
120000,16000,60,7.5,4680000,1307720,P40>=0.2,1388740,100 周期,AI,0.058
