threshold,alarm_events,timely,late,miss,timely_recall,fp_events,fp_per_hour_all_stable,fp_per_hour_running,tia_all_stable,tia_running
2.3572,216,2,2,0,0.5,211,0.1315,0.2935,0.1224,0.1378
2.3954,205,2,1,1,0.5,201,0.1253,0.2796,0.1164,0.1314
2.4383,194,1,1,2,0.25,191,0.119,0.2657,0.1071,0.1229
2.488,186,1,1,2,0.25,183,0.1141,0.2545,0.1012,0.1168
2.5406,184,1,1,2,0.25,181,0.1128,0.2518,0.0953,0.11
2.5962,179,0,2,2,0.0,176,0.1097,0.2448,0.091,0.1056
2.6469,175,0,2,2,0.0,172,0.1072,0.2392,0.086,0.1017
2.6967,173,0,2,2,0.0,170,0.106,0.2365,0.0782,0.0945
2.7638,168,0,2,2,0.0,165,0.1028,0.2295,0.0741,0.0913
2.8245,159,0,2,2,0.0,156,0.0972,0.217,0.0683,0.0867
2.884,154,0,2,2,0.0,151,0.0941,0.21,0.0647,0.0829
2.9453,147,0,2,2,0.0,144,0.0897,0.2003,0.0637,0.0822
2.9995,144,0,2,2,0.0,141,0.0879,0.1961,0.0609,0.0781
3.0793,134,0,2,2,0.0,131,0.0816,0.1822,0.0582,0.0753
3.1766,126,0,2,2,0.0,123,0.0767,0.1711,0.0543,0.0718
3.2683,118,0,2,2,0.0,115,0.0717,0.16,0.0511,0.0682
3.364,107,0,2,2,0.0,104,0.0648,0.1447,0.0365,0.0476
3.4727,97,0,2,2,0.0,94,0.0586,0.1307,0.035,0.0465
3.593,91,0,2,2,0.0,88,0.0548,0.1224,0.0315,0.0431
3.7511,86,0,2,2,0.0,83,0.0517,0.1154,0.0276,0.0395
3.89,78,0,2,2,0.0,75,0.0467,0.1043,0.0263,0.0374
4.0319,72,0,2,2,0.0,70,0.0436,0.0974,0.0198,0.0273
4.2568,66,0,2,2,0.0,64,0.0399,0.089,0.0117,0.0149
4.9596,52,0,0,4,0.0,52,0.0324,0.0723,0.007,0.0081
6.0004,41,0,0,4,0.0,41,0.0256,0.057,0.0064,0.0075
6.8561,33,0,0,4,0.0,33,0.0206,0.0459,0.0058,0.0067
9.2076,25,0,0,4,0.0,25,0.0156,0.0348,0.0053,0.0058
11.2558,15,0,0,4,0.0,15,0.0093,0.0209,0.0049,0.005
14.2041,13,0,0,4,0.0,13,0.0081,0.0181,0.0044,0.0041
25.6101,0,0,0,4,0.0,0,0.0,0.0,0.0,0.0
