告警起点,告警结束,持续分钟,峰值分数,诊断,建议窗口,优先级
2020-02-02 07:45:00,2020-02-02 08:05:00,20,24.34,空气泄漏（官方四事件均为该模式，单模式）,2020-02-03 17:08:00,P1-紧急
2020-02-04 03:58:00,2020-02-04 04:16:00,18,2.5,空气泄漏（官方四事件均为该模式，单模式）,2020-02-04 04:06:00,P3-观察
2020-02-04 16:17:00,2020-02-04 16:43:00,26,7.28,空气泄漏（官方四事件均为该模式，单模式）,2020-02-04 19:22:00,P1-紧急
2020-02-04 22:26:00,2020-02-04 22:45:00,19,7.01,空气泄漏（官方四事件均为该模式，单模式）,2020-02-05 00:50:00,P2-计划
2020-02-05 04:32:00,2020-02-05 04:50:00,18,3.78,空气泄漏（官方四事件均为该模式，单模式）,2020-02-06 01:53:00,P3-观察
2020-02-06 07:56:00,2020-02-06 08:17:00,21,3.81,空气泄漏（官方四事件均为该模式，单模式）,2020-02-06 08:02:00,P3-观察
2020-02-06 23:37:00,2020-02-07 05:28:00,351,4.61,空气泄漏（官方四事件均为该模式，单模式）,2020-02-06 23:41:00,P3-观察
2020-02-07 12:25:00,2020-02-07 15:46:00,201,4.98,空气泄漏（官方四事件均为该模式，单模式）,2020-02-09 00:08:00,P2-计划
2020-02-07 16:52:00,2020-02-07 18:53:00,121,5.3,空气泄漏（官方四事件均为该模式，单模式）,2020-02-09 00:08:00,P2-计划
2020-02-08 06:36:00,2020-02-08 06:54:00,18,5.32,空气泄漏（官方四事件均为该模式，单模式）,2020-02-09 00:08:00,P2-计划
2020-02-08 15:52:00,2020-02-08 16:05:00,13,3.91,空气泄漏（官方四事件均为该模式，单模式）,2020-02-09 00:08:00,P3-观察
2020-02-08 18:14:00,2020-02-08 19:02:00,48,6.06,空气泄漏（官方四事件均为该模式，单模式）,2020-02-09 00:08:00,P2-计划
2020-02-08 20:59:00,2020-02-08 21:11:00,12,4.49,空气泄漏（官方四事件均为该模式，单模式）,2020-02-09 00:08:00,P3-观察
2020-02-08 23:27:00,2020-02-08 23:48:00,21,7.51,空气泄漏（官方四事件均为该模式，单模式）,2020-02-09 00:08:00,P1-紧急
2020-02-09 04:42:00,2020-02-09 04:58:00,16,2.73,空气泄漏（官方四事件均为该模式，单模式）,2020-02-09 05:53:00,P3-观察
2020-02-09 16:33:00,2020-02-09 16:44:00,11,4.42,空气泄漏（官方四事件均为该模式，单模式）,2020-02-10 01:17:00,P3-观察
2020-02-09 20:05:00,2020-02-09 20:16:00,11,4.62,空气泄漏（官方四事件均为该模式，单模式）,2020-02-10 01:17:00,P3-观察
2020-02-09 22:50:00,2020-02-09 23:07:00,17,6.36,空气泄漏（官方四事件均为该模式，单模式）,2020-02-10 01:17:00,P2-计划
2020-02-10 04:43:00,2020-02-10 05:26:00,43,2.79,空气泄漏（官方四事件均为该模式，单模式）,2020-02-10 06:29:00,P3-观察
2020-02-10 17:43:00,2020-02-10 17:54:00,11,4.86,空气泄漏（官方四事件均为该模式，单模式）,2020-02-11 00:56:00,P2-计划
2020-02-10 23:27:00,2020-02-10 23:39:00,12,4.47,空气泄漏（官方四事件均为该模式，单模式）,2020-02-11 00:56:00,P3-观察
2020-02-11 04:44:00,2020-02-11 06:03:00,79,3.85,空气泄漏（官方四事件均为该模式，单模式）,2020-02-11 05:14:00,P3-观察
2020-02-11 23:13:00,2020-02-11 23:25:00,12,4.88,空气泄漏（官方四事件均为该模式，单模式）,2020-02-12 01:01:00,P2-计划
2020-02-13 04:59:00,2020-02-13 05:10:00,11,3.49,空气泄漏（官方四事件均为该模式，单模式）,2020-02-13 20:38:00,P3-观察
2020-02-16 14:21:00,2020-02-16 17:36:00,195,5.05,空气泄漏（官方四事件均为该模式，单模式）,2020-02-16 16:10:00,P2-计划
2020-02-17 04:41:00,2020-02-17 05:34:00,53,4.61,空气泄漏（官方四事件均为该模式，单模式）,2020-02-17 06:08:00,P3-观察
2020-02-17 18:26:00,2020-02-17 18:53:00,27,5.82,空气泄漏（官方四事件均为该模式，单模式）,2020-02-17 19:55:00,P2-计划
2020-02-20 01:28:00,2020-02-20 05:39:00,251,4.85,空气泄漏（官方四事件均为该模式，单模式）,2020-02-20 01:30:00,P2-计划
2020-02-22 21:16:00,2020-02-22 21:28:00,12,4.16,空气泄漏（官方四事件均为该模式，单模式）,2020-02-23 00:29:00,P3-观察
2020-02-22 23:37:00,2020-02-22 23:48:00,11,4.98,空气泄漏（官方四事件均为该模式，单模式）,2020-02-23 00:29:00,P2-计划
2020-02-23 05:07:00,2020-02-23 05:50:00,43,3.82,空气泄漏（官方四事件均为该模式，单模式）,2020-02-23 07:10:00,P3-观察
2020-02-24 07:50:00,2020-02-24 08:13:00,23,3.79,空气泄漏（官方四事件均为该模式，单模式）,2020-02-24 07:54:00,P3-观察
2020-02-25 07:45:00,2020-02-25 08:07:00,22,5.09,空气泄漏（官方四事件均为该模式，单模式）,2020-02-26 00:09:00,P2-计划
2020-02-25 21:06:00,2020-02-25 21:33:00,27,5.87,空气泄漏（官方四事件均为该模式，单模式）,2020-02-26 00:09:00,P2-计划
2020-02-25 22:18:00,2020-02-25 22:29:00,11,3.94,空气泄漏（官方四事件均为该模式，单模式）,2020-02-26 00:09:00,P3-观察
2020-02-26 04:27:00,2020-02-26 04:43:00,16,3.61,空气泄漏（官方四事件均为该模式，单模式）,2020-02-26 05:29:00,P3-观察
2020-02-26 08:48:00,2020-02-26 09:00:00,12,3.33,空气泄漏（官方四事件均为该模式，单模式）,2020-02-26 09:59:00,P3-观察
2020-02-26 17:24:00,2020-02-26 17:35:00,11,5.77,空气泄漏（官方四事件均为该模式，单模式）,2020-02-26 19:56:00,P2-计划
2020-02-27 08:28:00,2020-02-27 08:39:00,11,4.83,空气泄漏（官方四事件均为该模式，单模式）,2020-02-27 21:37:00,P2-计划
2020-02-28 17:43:00,2020-02-28 18:03:00,20,3.07,空气泄漏（官方四事件均为该模式，单模式）,2020-02-28 23:58:00,P3-观察
2020-03-01 04:38:00,2020-03-01 11:49:00,431,4.06,空气泄漏（官方四事件均为该模式，单模式）,2020-03-02 20:50:00,P3-观察
2020-03-01 12:34:00,2020-03-02 00:17:00,703,5.05,空气泄漏（官方四事件均为该模式，单模式）,2020-03-02 20:50:00,P2-计划
2020-03-02 02:42:00,2020-03-02 09:25:00,403,5.77,空气泄漏（官方四事件均为该模式，单模式）,2020-03-02 20:50:00,P2-计划
2020-03-02 09:59:00,2020-03-02 11:13:00,74,5.6,空气泄漏（官方四事件均为该模式，单模式）,2020-03-02 20:50:00,P2-计划
2020-03-02 11:54:00,2020-03-03 03:16:00,922,9.56,空气泄漏（官方四事件均为该模式，单模式）,2020-03-02 20:50:00,P1-紧急
2020-03-03 03:57:00,2020-03-03 14:53:00,656,7.36,空气泄漏（官方四事件均为该模式，单模式）,2020-03-03 10:30:00,P1-紧急
2020-03-03 21:57:00,2020-03-04 02:24:00,267,5.39,空气泄漏（官方四事件均为该模式，单模式）,2020-03-06 00:56:00,P2-计划
2020-03-05 10:38:00,2020-03-05 11:19:00,41,3.93,空气泄漏（官方四事件均为该模式，单模式）,2020-03-06 00:56:00,P3-观察
2020-03-06 07:50:00,2020-03-06 09:03:00,73,4.06,空气泄漏（官方四事件均为该模式，单模式）,2020-03-06 11:05:00,P3-观察
2020-03-07 10:43:00,2020-03-07 18:36:00,473,13.52,空气泄漏（官方四事件均为该模式，单模式）,2020-03-07 10:45:00,P1-紧急
2020-03-09 18:10:00,2020-03-09 18:50:00,40,2.54,空气泄漏（官方四事件均为该模式，单模式）,2020-03-09 19:28:00,P3-观察
2020-03-10 01:19:00,2020-03-10 06:21:00,302,4.78,空气泄漏（官方四事件均为该模式，单模式）,2020-03-10 01:29:00,P3-观察
2020-03-11 18:30:00,2020-03-11 23:01:00,271,13.76,空气泄漏（官方四事件均为该模式，单模式）,2020-03-11 19:38:00,P1-紧急
2020-03-12 01:52:00,2020-03-12 10:41:00,529,3.43,空气泄漏（官方四事件均为该模式，单模式）,2020-03-12 14:41:00,P3-观察
2020-03-12 11:26:00,2020-03-12 12:31:00,65,14.52,空气泄漏（官方四事件均为该模式，单模式）,2020-03-12 14:41:00,P1-紧急
2020-03-12 15:31:00,2020-03-12 15:58:00,27,9.72,空气泄漏（官方四事件均为该模式，单模式）,2020-03-14 01:32:00,P1-紧急
2020-03-12 17:33:00,2020-03-12 17:57:00,24,4.13,空气泄漏（官方四事件均为该模式，单模式）,2020-03-14 01:32:00,P3-观察
2020-03-14 06:33:00,2020-03-14 07:39:00,66,16.7,空气泄漏（官方四事件均为该模式，单模式）,2020-03-15 00:55:00,P1-紧急
2020-03-15 08:55:00,2020-03-15 09:32:00,37,9.6,空气泄漏（官方四事件均为该模式，单模式）,2020-03-15 17:04:00,P1-紧急
2020-03-15 23:29:00,2020-03-16 08:13:00,524,16.62,空气泄漏（官方四事件均为该模式，单模式）,2020-03-15 23:43:00,P1-紧急
2020-03-20 06:34:00,2020-03-20 06:52:00,18,3.05,空气泄漏（官方四事件均为该模式，单模式）,2020-03-21 01:04:00,P3-观察
