变体,口径,阈值,告警数,timely,late,miss,误报,误报率,TIA_H
V0 基线（walk-forward + 工况条件化 + top3-RMS）,各自重新标定 q0.995,13.171,13,0,0,4,13,0.0081,0.0045
V0 基线（walk-forward + 工况条件化 + top3-RMS）,共用同一阈值（V0 自标定）,13.171,13,0,0,4,13,0.0081,0.0045
V0 基线（walk-forward + 工况条件化 + top3-RMS）,原口径：硬编码 2.395,2.395,205,2,1,1,201,0.1253,0.1176
V1 聚合改 max|z|（单信号）,各自重新标定 q0.995,17.223,13,0,0,4,13,0.0081,0.0045
V1 聚合改 max|z|（单信号）,共用同一阈值（V0 自标定）,13.171,15,0,0,4,15,0.0093,0.005
V1 聚合改 max|z|（单信号）,原口径：硬编码 2.395,2.395,425,1,1,2,418,0.2605,0.2605
V2 静态标准化（全期一次估计）,各自重新标定 q0.995,25.269,0,0,0,4,0,0.0,0.0
V2 静态标准化（全期一次估计）,共用同一阈值（V0 自标定）,13.171,316,3,0,1,312,0.1945,0.0836
V2 静态标准化（全期一次估计）,原口径：硬编码 2.395,2.395,445,3,0,1,441,0.2749,0.0909
V3 不做工况条件化,各自重新标定 q0.995,0.0,0,0,0,4,0,0.0,0.0
V3 不做工况条件化,共用同一阈值（V0 自标定）,13.171,0,0,0,4,0,0.0,0.0
V3 不做工况条件化,原口径：硬编码 2.395,2.395,0,0,0,4,0,0.0,0.0
V4 去掉派生特征,各自重新标定 q0.995,12.07,11,0,0,4,11,0.0069,0.0037
V4 去掉派生特征,共用同一阈值（V0 自标定）,13.171,9,0,0,4,9,0.0056,0.0034
V4 去掉派生特征,原口径：硬编码 2.395,2.395,174,0,2,2,171,0.1066,0.0781
V5 随机缺失 10% 分钟,各自重新标定 q0.995,12.867,13,0,0,4,13,0.0081,0.0045
V5 随机缺失 10% 分钟,共用同一阈值（V0 自标定）,13.171,12,0,0,4,12,0.0075,0.0043
V5 随机缺失 10% 分钟,原口径：硬编码 2.395,2.395,173,2,1,1,169,0.1053,0.0998
V6 随机缺失 30% 分钟,各自重新标定 q0.995,10.948,8,0,0,4,8,0.005,0.0037
V6 随机缺失 30% 分钟,共用同一阈值（V0 自标定）,13.171,6,0,0,4,6,0.0037,0.0033
V6 随机缺失 30% 分钟,原口径：硬编码 2.395,2.395,97,1,0,3,96,0.0598,0.0564
V7 温度通道卡死（该列置零）,各自重新标定 q0.995,25.269,0,0,0,4,0,0.0,0.0
V7 温度通道卡死（该列置零）,共用同一阈值（V0 自标定）,13.171,316,3,0,1,312,0.1945,0.0836
V7 温度通道卡死（该列置零）,原口径：硬编码 2.395,2.395,442,3,0,1,438,0.273,0.0906
