变体,健康期,健康期分钟,阈值,告警数,timely,late,miss,误报,误报率,TIA_H
V0 基线（walk-forward + 工况条件化 + top3-RMS）,W1 起点→故障1前,92486,13.155,13,0,0,4,13,0.0081,0.0045
V0 基线（walk-forward + 工况条件化 + top3-RMS）,W2 故障1后→故障2前,43842,22.354,1,0,0,4,1,0.0006,0.0
V0 基线（walk-forward + 工况条件化 + top3-RMS）,W3 故障2后→故障3前,6468,19.456,10,0,0,4,10,0.0062,0.0034
V0 基线（walk-forward + 工况条件化 + top3-RMS）,W4 故障3后→故障4前,43603,18.626,10,0,0,4,10,0.0062,0.0034
V0 基线（walk-forward + 工况条件化 + top3-RMS）,W5 故障4后→终点,56374,5.782,44,0,0,4,44,0.0274,0.0065
V1 聚合改 max|z|（单信号）,W1 起点→故障1前,92486,17.196,13,0,0,4,13,0.0081,0.0045
V1 聚合改 max|z|（单信号）,W2 故障1后→故障2前,43842,30.0,0,0,0,4,0,0.0,0.0
V1 聚合改 max|z|（单信号）,W3 故障2后→故障3前,6468,26.185,3,0,0,4,3,0.0019,0.0015
V1 聚合改 max|z|（单信号）,W4 故障3后→故障4前,43603,25.519,6,0,0,4,6,0.0037,0.0025
V1 聚合改 max|z|（单信号）,W5 故障4后→终点,56374,7.946,35,0,0,4,35,0.0218,0.0061
V2 静态标准化（全期一次估计）,W1 起点→故障1前,92486,25.269,0,0,0,4,0,0.0,0.0
V2 静态标准化（全期一次估计）,W2 故障1后→故障2前,43842,25.269,0,0,0,4,0,0.0,0.0
V2 静态标准化（全期一次估计）,W3 故障2后→故障3前,6468,25.269,0,0,0,4,0,0.0,0.0
V2 静态标准化（全期一次估计）,W4 故障3后→故障4前,43603,25.269,0,0,0,4,0,0.0,0.0
V2 静态标准化（全期一次估计）,W5 故障4后→终点,56374,25.269,0,0,0,4,0,0.0,0.0
V3 不做工况条件化,W1 起点→故障1前,92486,0.0,0,0,0,4,0,0.0,0.0
V3 不做工况条件化,W2 故障1后→故障2前,43842,0.0,0,0,0,4,0,0.0,0.0
V3 不做工况条件化,W3 故障2后→故障3前,6468,0.0,0,0,0,4,0,0.0,0.0
V3 不做工况条件化,W4 故障3后→故障4前,43603,0.0,0,0,0,4,0,0.0,0.0
V3 不做工况条件化,W5 故障4后→终点,56374,0.0,0,0,0,4,0,0.0,0.0
V4 去掉派生特征,W1 起点→故障1前,92486,12.054,11,0,0,4,11,0.0069,0.0037
V4 去掉派生特征,W2 故障1后→故障2前,43842,19.863,1,0,0,4,1,0.0006,0.0
V4 去掉派生特征,W3 故障2后→故障3前,6468,15.714,5,0,0,4,5,0.0031,0.0021
V4 去掉派生特征,W4 故障3后→故障4前,43603,15.911,5,0,0,4,5,0.0031,0.0019
V4 去掉派生特征,W5 故障4后→终点,56374,5.656,43,0,0,4,43,0.0268,0.006
V5 随机缺失 10% 分钟,W1 起点→故障1前,92486,12.834,13,0,0,4,13,0.0081,0.0045
V5 随机缺失 10% 分钟,W2 故障1后→故障2前,43842,22.354,1,0,0,4,1,0.0006,0.0
V5 随机缺失 10% 分钟,W3 故障2后→故障3前,6468,19.321,9,0,0,4,9,0.0056,0.0032
V5 随机缺失 10% 分钟,W4 故障3后→故障4前,43603,17.858,9,0,0,4,9,0.0056,0.0032
V5 随机缺失 10% 分钟,W5 故障4后→终点,56374,5.782,35,0,0,4,35,0.0218,0.006
V6 随机缺失 30% 分钟,W1 起点→故障1前,92486,10.915,8,0,0,4,8,0.005,0.0037
V6 随机缺失 30% 分钟,W2 故障1后→故障2前,43842,22.354,0,0,0,4,0,0.0,0.0
V6 随机缺失 30% 分钟,W3 故障2后→故障3前,6468,19.099,5,0,0,4,5,0.0031,0.0029
V6 随机缺失 30% 分钟,W4 故障3后→故障4前,43603,17.418,5,0,0,4,5,0.0031,0.0029
V6 随机缺失 30% 分钟,W5 故障4后→终点,56374,5.782,20,0,0,4,20,0.0125,0.0045
V7 温度通道卡死（该列置零）,W1 起点→故障1前,92486,25.269,0,0,0,4,0,0.0,0.0
V7 温度通道卡死（该列置零）,W2 故障1后→故障2前,43842,25.269,0,0,0,4,0,0.0,0.0
V7 温度通道卡死（该列置零）,W3 故障2后→故障3前,6468,25.269,0,0,0,4,0,0.0,0.0
V7 温度通道卡死（该列置零）,W4 故障3后→故障4前,43603,25.269,0,0,0,4,0,0.0,0.0
V7 温度通道卡死（该列置零）,W5 故障4后→终点,56374,25.269,0,0,0,4,0,0.0,0.0
