归一化,实验,模型,训练窗口,测试窗口,准确率,宏F1,多数类基线
原始,E3 7mil→14mil,逻辑回归,950,947,0.483,0.392,0.251
原始,E3 7mil→14mil,随机森林,950,947,0.486,0.413,0.251
原始,E4 7+14→21mil,逻辑回归,1661,949,0.25,0.251,0.251
原始,E4 7+14→21mil,随机森林,1661,949,0.652,0.618,0.251
原始,E5 1730全→1750,逻辑回归,2374,947,0.838,0.82,0.25
原始,E5 1730全→1750,随机森林,2374,947,0.901,0.897,0.25
按记录全归,E3 7mil→14mil,逻辑回归,950,947,0.241,0.144,0.251
按记录全归,E3 7mil→14mil,随机森林,950,947,0.569,0.539,0.251
按记录全归,E4 7+14→21mil,逻辑回归,1661,949,0.251,0.1,0.251
按记录全归,E4 7+14→21mil,随机森林,1661,949,0.673,0.602,0.251
按记录全归,E5 1730全→1750,逻辑回归,2374,947,0.25,0.1,0.25
按记录全归,E5 1730全→1750,随机森林,2374,947,0.556,0.55,0.25
只归相对量,E3 7mil→14mil,逻辑回归,950,947,0.597,0.539,0.251
只归相对量,E3 7mil→14mil,随机森林,950,947,0.511,0.45,0.251
只归相对量,E4 7+14→21mil,逻辑回归,1661,949,0.256,0.261,0.251
只归相对量,E4 7+14→21mil,随机森林,1661,949,0.645,0.599,0.251
只归相对量,E5 1730全→1750,逻辑回归,2374,947,0.864,0.853,0.25
只归相对量,E5 1730全→1750,随机森林,2374,947,0.903,0.899,0.25
