section,policy_key,kind,parameter_a,parameter_b,caught_urgent,missed_urgent,moved_nonurgent,wasted_cycles,urgent_recall,total_cost,per_unit_cost,exact_match,failure_cost,replacement_cost,waste_cost,ratio,do_nothing_cost,best_ai_cost,best_ai_parameter,best_fixed_cost,best_fixed_parameter,winner,ai_saving_vs_fixed
policy,none,none,,,0.000000,39.000000,0.000000,0.000000,0.000000,1950000.000000,19500.000000,True,,,,,,,,,,,
policy,fixed_25,fixed,25.000000,,39.000000,0.000000,61.000000,11436.000000,1.000000,1486160.000000,14861.000000,True,,,,,,,,,,,
policy,fixed_50,fixed,50.000000,,39.000000,0.000000,54.000000,9144.000000,1.000000,1292640.000000,12926.000000,True,,,,,,,,,,,
policy,fixed_75,fixed,75.000000,,39.000000,0.000000,41.000000,6471.000000,1.000000,1028260.000000,10282.000000,True,,,,,,,,,,,
policy,fixed_100,fixed,100.000000,,39.000000,0.000000,31.000000,4479.000000,1.000000,828740.000000,8287.000000,True,,,,,,,,,,,
policy,fixed_150,fixed,150.000000,,24.000000,15.000000,13.000000,1641.000000,0.615385,1144460.000000,11444.000000,True,,,,,,,,,,,
policy,point_10,point,10.000000,,8.000000,31.000000,0.000000,0.000000,0.205128,1614000.000000,16140.000000,True,,,,,,,,,,,
policy,point_20,point,20.000000,,16.000000,23.000000,1.000000,174.000000,0.410256,1296440.000000,12964.000000,True,,,,,,,,,,,
policy,point_30,point,30.000000,,22.000000,17.000000,5.000000,1119.000000,0.564103,1133140.000000,11331.000000,True,,,,,,,,,,,
policy,point_40,point,40.000000,,29.000000,10.000000,7.000000,1464.000000,0.743590,875840.000000,8758.000000,True,,,,,,,,,,,
policy,point_60,point,60.000000,,36.000000,3.000000,14.000000,2662.000000,0.923077,709720.000000,7097.000000,True,,,,,,,,,,,
policy,P20>=0.2,class,20.000000,0.200000,20.000000,19.000000,3.000000,711.000000,0.512821,1176660.000000,11766.000000,True,,,,,,,,,,,
policy,P20>=0.5,class,20.000000,0.500000,16.000000,23.000000,0.000000,0.000000,0.410256,1278000.000000,12780.000000,True,,,,,,,,,,,
policy,P20>=0.8,class,20.000000,0.800000,11.000000,28.000000,0.000000,0.000000,0.282051,1488000.000000,14880.000000,True,,,,,,,,,,,
policy,P40>=0.2,class,40.000000,0.200000,36.000000,3.000000,14.000000,2462.000000,0.923077,697720.000000,6977.000000,True,,,,,,,,,,,
policy,P40>=0.5,class,40.000000,0.500000,30.000000,9.000000,7.000000,1470.000000,0.769231,834200.000000,8342.000000,True,,,,,,,,,,,
policy,P40>=0.8,class,40.000000,0.800000,23.000000,16.000000,6.000000,1272.000000,0.589744,1108320.000000,11083.000000,True,,,,,,,,,,,
policy,P60>=0.2,class,60.000000,0.200000,38.000000,1.000000,36.000000,6493.000000,0.974359,1031580.000000,10315.000000,True,,,,,,,,,,,
policy,P60>=0.5,class,60.000000,0.500000,37.000000,2.000000,18.000000,3376.000000,0.948718,742560.000000,7425.000000,True,,,,,,,,,,,
policy,P60>=0.8,class,60.000000,0.800000,32.000000,7.000000,10.000000,1974.000000,0.820513,804440.000000,8044.000000,True,,,,,,,,,,,
sensitivity,,,,,,,,,,,,True,20000.000000,4000.000000,60.000000,5.000000,780000.000000,407720.000000,P40>=0.2,478820.000000,125 cycles,AI,0.148490
sensitivity,,,,,,,,,,,,True,20000.000000,8000.000000,60.000000,2.500000,780000.000000,564200.000000,P40>=0.5,694460.000000,150 cycles,AI,0.187570
sensitivity,,,,,,,,,,,,True,20000.000000,16000.000000,60.000000,1.200000,780000.000000,716000.000000,P20>=0.5,990460.000000,150 cycles,AI,0.277104
sensitivity,,,,,,,,,,,,True,35000.000000,4000.000000,60.000000,8.800000,1365000.000000,452720.000000,P40>=0.2,523820.000000,125 cycles,AI,0.135734
sensitivity,,,,,,,,,,,,True,35000.000000,8000.000000,60.000000,4.400000,1365000.000000,652720.000000,P40>=0.2,759820.000000,125 cycles,AI,0.140954
sensitivity,,,,,,,,,,,,True,35000.000000,16000.000000,60.000000,2.200000,1365000.000000,995200.000000,P40>=0.5,1215460.000000,150 cycles,AI,0.181215
sensitivity,,,,,,,,,,,,True,50000.000000,4000.000000,60.000000,12.500000,1950000.000000,497720.000000,P40>=0.2,548740.000000,100 cycles,AI,0.092977
sensitivity,,,,,,,,,,,,True,50000.000000,8000.000000,60.000000,6.200000,1950000.000000,697720.000000,P40>=0.2,804820.000000,125 cycles,AI,0.133073
sensitivity,,,,,,,,,,,,True,50000.000000,16000.000000,60.000000,3.100000,1950000.000000,1097720.000000,P40>=0.2,1276820.000000,125 cycles,AI,0.140270
sensitivity,,,,,,,,,,,,True,80000.000000,4000.000000,60.000000,20.000000,3120000.000000,582560.000000,P60>=0.5,548740.000000,100 cycles,fixed,-0.061632
sensitivity,,,,,,,,,,,,True,80000.000000,8000.000000,60.000000,10.000000,3120000.000000,787720.000000,P40>=0.2,828740.000000,100 cycles,AI,0.049497
sensitivity,,,,,,,,,,,,True,80000.000000,16000.000000,60.000000,5.000000,3120000.000000,1187720.000000,P40>=0.2,1366820.000000,125 cycles,AI,0.131034
sensitivity,,,,,,,,,,,,True,120000.000000,4000.000000,60.000000,30.000000,4680000.000000,662560.000000,P60>=0.5,548740.000000,100 cycles,fixed,-0.207421
sensitivity,,,,,,,,,,,,True,120000.000000,8000.000000,60.000000,15.000000,4680000.000000,882560.000000,P60>=0.5,828740.000000,100 cycles,fixed,-0.064942
sensitivity,,,,,,,,,,,,True,120000.000000,16000.000000,60.000000,7.500000,4680000.000000,1307720.000000,P40>=0.2,1388740.000000,100 cycles,AI,0.058341
