mode,scenario,group,samples_per_day,rolling_samples,rolling_days_actual,rolling_min_periods,ratio_base,point_threshold_q999,health_point_events_d45_120,health_p1_gate_events_d45_120,point_delay_days_from_d20,p1_gate_delay_days_from_d20,health_ratio_fraction_k1.3_d45_120,health_ratio_episodes_k1.3_d45_120,ratio_delay_k1.3_days_from_d20,health_ratio_fraction_k1.5_d45_120,health_ratio_episodes_k1.5_d45_120,ratio_delay_k1.5_days_from_d20,health_ratio_fraction_k2.0_d45_120,health_ratio_episodes_k2.0_d45_120,ratio_delay_k2.0_days_from_d20
correct_5d,A_window,window,96,480,5.0,480,1.264189,20.181292,0,0,,,0.597083,3,25.0,0.559306,4,25.0,0.274861,4,33.84
legacy_7200_samples,A_window,window,96,7200,75.0,288,2.134966,20.181292,0,0,,,0.0,0,86.43,0.0,0,97.61,0.0,0,
correct_5d,B_window,window,96,480,5.0,480,1.263967,20.594755,2,1,30.16,30.16,0.513889,5,25.0,0.246528,3,25.0,0.0,0,29.56
legacy_7200_samples,B_window,window,96,7200,75.0,288,2.956143,20.594755,2,0,30.16,86.95,0.0,0,93.7,0.0,0,,0.0,0,
correct_5d,C_window,window,96,480,5.0,480,1.036459,9.277051,2,2,49.45,49.45,0.948056,1,26.33,0.923472,2,28.41,0.79125,2,30.57
legacy_7200_samples,C_window,window,96,7200,75.0,288,2.437701,9.277051,2,0,49.45,63.45,0.0,0,75.51,0.0,0,84.74,0.0,0,97.76
correct_5d,slow_-20pct_100d,slow,96,480,5.0,480,1.264189,20.181292,0,0,,,0.597083,3,38.34,0.559306,4,41.26,0.274861,4,41.61
legacy_7200_samples,slow_-20pct_100d,slow,96,7200,75.0,288,2.134966,20.181292,0,0,,,0.0,0,,0.0,0,,0.0,0,
correct_5d,slow_-40pct_100d,slow,96,480,5.0,480,1.264189,20.181292,0,0,74.35,74.35,0.597083,3,25.0,0.559306,4,33.57,0.274861,4,42.03
legacy_7200_samples,slow_-40pct_100d,slow,96,7200,75.0,288,2.134966,20.181292,0,0,74.35,,0.0,0,,0.0,0,,0.0,0,
correct_5d,slow_-60pct_100d,slow,96,480,5.0,480,1.264189,20.181292,0,0,,,0.597083,3,25.0,0.559306,4,25.0,0.274861,4,33.84
legacy_7200_samples,slow_-60pct_100d,slow,96,7200,75.0,288,2.134966,20.181292,0,0,,,0.0,0,86.43,0.0,0,97.61,0.0,0,
correct_5d,slow_-80pct_100d,slow,96,480,5.0,480,1.264189,20.181292,0,0,,,0.597083,3,25.0,0.559306,4,25.0,0.274861,4,31.73
legacy_7200_samples,slow_-80pct_100d,slow,96,7200,75.0,288,2.134966,20.181292,0,0,,,0.0,0,74.27,0.0,0,85.74,0.0,0,
correct_5d,fast_-60pct_40d,fast,96,480,5.0,480,1.264189,20.181292,0,0,,,0.597083,3,25.0,0.559306,4,25.0,0.274861,4,25.0
legacy_7200_samples,fast_-60pct_40d,fast,96,7200,75.0,288,2.134966,20.181292,0,0,,,0.0,0,34.96,0.0,0,63.01,0.0,0,
correct_5d,fast_-80pct_40d,fast,96,480,5.0,480,1.264189,20.181292,0,0,,,0.597083,3,25.0,0.559306,4,25.0,0.274861,4,25.0
legacy_7200_samples,fast_-80pct_40d,fast,96,7200,75.0,288,2.134966,20.181292,0,0,,,0.0,0,25.75,0.0,0,41.47,0.0,0,83.98
correct_5d,R1_dry,rain,96,480,5.0,480,0.773876,4.933819,15,15,25.86,25.86,0.526528,9,25.0,0.371111,11,25.0,0.0,0,25.0
legacy_7200_samples,R1_dry,rain,96,7200,75.0,288,1.302441,4.933819,15,0,25.86,25.86,0.0,0,36.83,0.0,0,45.75,0.0,0,67.36
correct_5d,R2_dry_rain,rain,96,480,5.0,480,0.766973,5.392002,11,11,30.43,30.43,0.703333,7,25.0,0.576667,8,25.0,0.275833,5,25.0
legacy_7200_samples,R2_dry_rain,rain,96,7200,75.0,288,1.544974,5.392002,11,0,30.43,30.43,0.0,0,39.97,0.0,0,51.1,0.0,0,71.33
correct_5d,R3_storm,rain,96,480,5.0,480,0.830041,6.228214,17,17,28.04,28.04,0.702917,8,25.0,0.573472,7,25.0,0.379583,3,25.0
legacy_7200_samples,R3_storm,rain,96,7200,75.0,288,2.165211,6.228214,17,0,28.04,40.45,0.0,0,54.12,0.0,0,68.56,0.0,0,82.52
