工况,base,单点阈值,比值阈值,健康_P1与门上报,健康_单点上报,健康_比值越限段,健康_并集上报,检出_单点,检出_比值,检出_P1与门,检出_并集
"A 窗[0,120)",2.135,20.181,2.775,0,0,0,0,20.28,86.43,,20.28
"B 窗[120,240)",2.956,20.595,3.843,2,4,0,4,6.44,93.7,6.44,6.44
"C 窗[240,360)",2.438,9.277,3.169,0,3,0,3,2.88,75.51,63.45,2.88
慢 -20%/100d,2.135,20.181,2.775,0,0,0,0,20.28,,,20.28
慢 -40%/100d,2.135,20.181,2.775,0,0,0,0,20.28,,,20.28
慢 -60%/100d,2.135,20.181,2.775,0,0,0,0,20.28,86.43,,20.28
慢 -80%/100d,2.135,20.181,2.775,0,0,0,0,20.28,74.27,,20.28
快 -60%/40d,2.135,20.181,2.775,0,0,0,0,20.28,34.96,20.28,20.28
快 -80%/40d,2.135,20.181,2.775,0,0,0,0,20.32,25.75,20.32,20.32
R1 干天循环,1.302,4.934,1.693,10,26,0,26,22.86,36.83,25.86,22.86
R2 干+雨循环,1.545,5.392,2.008,6,18,0,18,2.44,39.97,2.44,2.44
R3 加暴雨,2.165,6.228,2.815,8,26,0,26,0.04,54.12,0.04,0.04
