工况,基线base,参考窗阈值,单点事件机_健康误报,健康越限占比_k1.3,检出延迟_k1.3,健康越限占比_k1.5,检出延迟_k1.5,健康越限占比_k2.0,检出延迟_k2.0,健康越限占比_k3.0,检出延迟_k3.0
"A 窗[0,120)",1.274,20.181,0,0.595,25.01,0.554,27.14,0.264,33.88,0.079,61.88
"B 窗[120,240)",1.264,20.595,4,0.514,25.01,0.247,25.01,0.0,29.56,0.0,45.64
"C 窗[240,360)",1.036,9.277,3,0.948,26.33,0.924,28.41,0.792,30.56,0.008,49.48
慢 -20%/100d,1.274,20.181,0,0.595,38.38,0.554,41.26,0.264,41.61,0.079,42.44
慢 -40%/100d,1.274,20.181,0,0.595,25.01,0.554,33.62,0.264,42.06,0.079,74.66
慢 -60%/100d,1.274,20.181,0,0.595,25.01,0.554,27.14,0.264,33.88,0.079,61.88
慢 -80%/100d,1.274,20.181,0,0.595,25.01,0.554,25.01,0.264,31.93,0.079,41.06
快 -60%/40d,1.274,20.181,0,0.595,25.01,0.554,25.01,0.264,25.01,0.079,33.01
快 -80%/40d,1.274,20.181,0,0.595,25.01,0.554,25.01,0.264,25.01,0.079,31.79
R1 干天循环,0.775,4.934,26,0.525,25.01,0.371,25.01,0.0,25.01,0.0,26.42
R2 干+雨循环,0.767,5.392,18,0.703,25.01,0.577,25.01,0.276,25.01,0.071,26.1
R3 加暴雨,0.83,6.228,26,0.703,25.01,0.573,25.01,0.38,25.01,0.275,26.08
