轨迹,退化起始,自适应首报,冻结首报,最早报警,检出延迟,失效时刻,提前量,健康误报_自适应,健康误报_冻结,退化前告警,噪声,种子
基准（第 20 天起）,20.0,40.24,40.28,40.24,20.24,47.34,7.1,2,0,1,,0
start40,40.0,40.22,,40.22,0.22,71.36,31.14,2,0,1,,0
start60,60.0,60.61,60.74,60.61,0.61,81.29,20.68,2,0,2,,0
phase3,20.0,37.29,37.28,37.28,17.28,49.33,12.05,2,0,2,,0
phase7,20.0,33.21,87.36,33.21,13.21,61.33,28.12,2,0,1,,0
噪声 2%,20.0,40.24,40.28,40.24,20.24,47.34,7.1,2,0,1,0.02,0
噪声 2%,20.0,40.24,40.28,40.24,20.24,47.34,7.1,2,0,1,0.02,1
噪声 2%,20.0,40.24,40.28,40.24,20.24,47.35,7.11,2,0,1,0.02,2
噪声 5%,20.0,40.24,40.28,40.24,20.24,47.34,7.1,2,0,1,0.05,0
噪声 5%,20.0,40.24,40.28,40.24,20.24,47.35,7.11,2,0,1,0.05,1
噪声 5%,20.0,40.24,40.28,40.24,20.24,47.35,7.11,2,0,1,0.05,2
噪声 10%,20.0,40.25,40.28,40.25,20.25,53.25,13.0,2,0,1,0.1,0
噪声 10%,20.0,40.24,40.31,40.24,20.24,47.35,7.11,2,0,1,0.1,1
噪声 10%,20.0,40.24,,40.24,20.24,52.62,12.38,2,0,1,0.1,2
