窗天,k_and,k_ratio,健康_单点,健康_比值段,健康_并集,健康_P1与门,健康_P1与门_非暴雨,检出数_单点,检出数_比值,检出数_并集,检出数_P1与门,延迟中位_单点,延迟中位_并集,延迟中位_P1
1,1.05,1.15,51,133,184,51,34,12,12,12,12,20.3,20.3,20.3
1,1.1,1.15,51,133,184,51,34,12,12,12,12,20.3,20.3,20.3
1,1.15,1.15,51,133,184,51,34,12,12,12,12,20.3,20.3,20.3
1,1.25,1.15,51,133,184,51,34,12,12,12,12,20.3,20.3,20.3
1,1.4,1.15,51,133,184,51,34,12,12,12,12,20.3,20.3,20.3
1,1.05,1.25,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.1,1.25,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.15,1.25,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.25,1.25,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.4,1.25,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.05,1.4,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.1,1.4,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.15,1.4,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.25,1.4,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
1,1.4,1.4,51,150,201,51,34,12,12,12,12,20.3,20.3,20.3
3,1.05,1.15,51,76,127,51,34,12,12,12,12,20.3,20.3,20.3
3,1.1,1.15,51,76,127,51,34,12,12,12,12,20.3,20.3,20.3
3,1.15,1.15,51,76,127,51,34,12,12,12,12,20.3,20.3,20.3
3,1.25,1.15,51,76,127,51,34,12,12,12,12,20.3,20.3,20.3
3,1.4,1.15,51,76,127,51,34,12,12,12,12,20.3,20.3,20.3
3,1.05,1.25,51,83,134,51,34,12,12,12,12,20.3,20.3,20.3
3,1.1,1.25,51,83,134,51,34,12,12,12,12,20.3,20.3,20.3
3,1.15,1.25,51,83,134,51,34,12,12,12,12,20.3,20.3,20.3
3,1.25,1.25,51,83,134,51,34,12,12,12,12,20.3,20.3,20.3
3,1.4,1.25,51,83,134,51,34,12,12,12,12,20.3,20.3,20.3
3,1.05,1.4,51,96,147,51,34,12,12,12,12,20.3,20.3,20.3
3,1.1,1.4,51,96,147,51,34,12,12,12,12,20.3,20.3,20.3
3,1.15,1.4,51,96,147,51,34,12,12,12,12,20.3,20.3,20.3
3,1.25,1.4,51,96,147,51,34,12,12,12,12,20.3,20.3,20.3
3,1.4,1.4,51,96,147,51,34,12,12,12,12,20.3,20.3,20.3
5,1.05,1.15,51,87,138,51,34,12,12,12,12,20.3,20.3,20.3
5,1.1,1.15,51,87,138,51,34,12,12,12,12,20.3,20.3,20.3
5,1.15,1.15,51,87,138,50,33,12,12,12,12,20.3,20.3,20.3
5,1.25,1.15,51,87,138,50,33,12,12,12,12,20.3,20.3,20.3
5,1.4,1.15,51,87,138,49,33,12,12,12,12,20.3,20.3,20.3
5,1.05,1.25,51,62,113,51,34,12,12,12,12,20.3,20.3,20.3
5,1.1,1.25,51,62,113,51,34,12,12,12,12,20.3,20.3,20.3
5,1.15,1.25,51,62,113,50,33,12,12,12,12,20.3,20.3,20.3
5,1.25,1.25,51,62,113,50,33,12,12,12,12,20.3,20.3,20.3
5,1.4,1.25,51,62,113,49,33,12,12,12,12,20.3,20.3,20.3
5,1.05,1.4,51,59,110,51,34,12,12,12,12,20.3,20.3,20.3
5,1.1,1.4,51,59,110,51,34,12,12,12,12,20.3,20.3,20.3
5,1.15,1.4,51,59,110,50,33,12,12,12,12,20.3,20.3,20.3
5,1.25,1.4,51,59,110,50,33,12,12,12,12,20.3,20.3,20.3
5,1.4,1.4,51,59,110,49,33,12,12,12,12,20.3,20.3,20.3
