起点,结束,持续分钟,来源通道,峰值分数,判据阈值,分布位置比值,等级
2020-02-02 07:45:00,2020-02-02 07:54:00,9,adaptive,5.18,4.582,1.054,2
2020-02-06 07:55:00,2020-02-06 08:10:00,15,adaptive,4.68,4.582,0.881,2
2020-02-20 04:38:00,2020-02-20 04:48:00,10,adaptive,5.03,4.582,0.975,2
2020-02-24 07:49:00,2020-02-24 08:05:00,16,adaptive,6.06,4.582,0.874,2
2020-03-07 10:42:00,2020-03-07 10:53:00,11,adaptive,5.51,4.582,1.189,1
2020-03-07 18:04:00,2020-03-07 18:15:00,11,adaptive,5.01,4.582,1.194,1
2020-03-11 20:53:00,2020-03-12 02:43:00,350,ratio,1.272,1.25,1.272,3
2020-03-12 12:07:00,2020-03-12 12:22:00,15,adaptive,10.8,4.582,1.21,1
2020-03-12 15:31:00,2020-03-12 15:52:00,21,adaptive,15.61,4.582,1.21,1
2020-03-12 16:40:00,2020-03-12 16:56:00,16,adaptive,14.03,4.582,1.211,1
2020-03-13 04:01:00,2020-03-13 04:10:00,9,adaptive,14.31,4.582,1.191,1
2020-03-14 06:32:00,2020-03-14 06:45:00,13,adaptive,12.51,4.582,1.129,2
2020-03-16 04:41:00,2020-03-16 05:25:00,44,adaptive,5.17,4.582,0.966,2
2020-03-28 23:08:00,2020-03-28 23:20:00,12,frozen,4.74,4.582,1.034,2
2020-03-28 23:08:00,2020-03-28 23:31:00,23,adaptive,10.82,4.582,1.036,2
2020-03-30 07:36:00,2020-03-30 07:50:00,14,adaptive,20.52,4.582,1.223,1
2020-03-30 10:34:00,2020-03-30 10:43:00,9,adaptive,14.76,4.582,1.244,1
2020-04-06 10:00:00,2020-04-06 10:09:00,9,adaptive,5.53,4.582,0.907,2
2020-04-06 11:31:00,2020-04-06 12:00:00,29,frozen,10.55,4.582,0.91,2
2020-04-06 11:31:00,2020-04-06 12:00:00,29,adaptive,10.84,4.582,0.91,2
2020-04-13 06:10:00,2020-04-13 06:20:00,10,adaptive,17.86,4.582,0.988,2
2020-04-13 07:14:00,2020-04-13 07:23:00,9,adaptive,13.97,4.582,0.987,2
2020-04-13 07:48:00,2020-04-13 07:57:00,9,adaptive,14.61,4.582,0.989,2
2020-04-13 08:22:00,2020-04-13 08:31:00,9,adaptive,10.05,4.582,0.99,2
2020-04-13 10:29:00,2020-04-13 10:38:00,9,adaptive,6.59,4.582,0.996,2
2020-04-13 16:42:00,2020-04-13 16:54:00,12,adaptive,16.82,4.582,1.024,2
2020-04-14 05:19:00,2020-04-14 05:28:00,9,adaptive,11.4,4.582,1.074,2
2020-04-14 05:52:00,2020-04-14 06:01:00,9,adaptive,15.66,4.582,1.076,2
2020-04-14 06:27:00,2020-04-14 06:36:00,9,adaptive,21.8,4.582,1.078,2
2020-04-14 10:02:00,2020-04-14 10:11:00,9,adaptive,7.35,4.582,1.086,2
2020-04-14 13:44:00,2020-04-14 13:54:00,10,adaptive,17.25,4.582,1.088,2
2020-04-16 00:54:00,2020-04-16 01:05:00,11,adaptive,5.71,4.582,1.076,2
2020-04-16 00:56:00,2020-04-16 02:35:00,99,frozen,4.97,4.582,1.076,2
2020-04-17 00:42:00,2020-04-17 00:52:00,10,adaptive,5.2,4.582,0.975,2
2020-04-19 02:39:00,2020-04-19 03:12:00,33,adaptive,20.6,4.582,1.164,1
2020-04-19 04:33:00,2020-04-19 04:51:00,18,adaptive,8.43,4.582,1.161,1
2020-04-19 19:43:00,2020-04-19 19:54:00,11,adaptive,8.7,4.582,1.153,1
2020-04-20 00:55:00,2020-04-20 01:04:00,9,adaptive,20.69,4.582,1.153,1
2020-04-20 02:20:00,2020-04-20 02:29:00,9,adaptive,16.61,4.582,1.151,1
2020-04-20 04:53:00,2020-04-20 10:01:00,308,adaptive,23.99,4.582,1.157,1
2020-04-21 02:19:00,2020-04-21 02:28:00,9,adaptive,4.99,4.582,1.175,1
2020-04-22 04:44:00,2020-04-23 07:16:00,1592,ratio,1.311,1.25,1.311,3
2020-04-25 00:37:00,2020-04-25 01:19:00,42,adaptive,10.46,4.582,0.96,2
2020-04-25 00:37:00,2020-04-27 01:50:00,2953,frozen,10.83,4.582,0.979,2
2020-04-30 23:37:00,2020-04-30 23:48:00,11,adaptive,13.34,4.582,0.895,2
2020-05-10 22:51:00,2020-05-10 23:03:00,12,adaptive,5.58,4.582,0.752,2
2020-05-14 22:54:00,2020-05-14 23:04:00,10,adaptive,14.14,4.582,1.088,2
2020-05-19 01:35:00,2020-06-02 03:28:00,20273,ratio,2.074,1.25,2.074,3
2020-05-19 01:53:00,2020-05-19 02:49:00,56,adaptive,17.93,4.582,1.277,1
2020-05-19 01:53:00,2020-05-19 06:07:00,254,frozen,11.45,4.582,1.32,1
2020-05-20 22:58:00,2020-05-20 23:11:00,13,adaptive,11.22,4.582,1.49,1
2020-05-20 23:33:00,2020-05-20 23:42:00,9,adaptive,20.84,4.582,1.49,1
2020-05-21 05:58:00,2020-05-21 06:12:00,14,adaptive,19.99,4.582,1.499,1
2020-05-21 07:16:00,2020-05-21 07:25:00,9,adaptive,14.02,4.582,1.498,1
2020-05-21 07:47:00,2020-05-21 07:56:00,9,adaptive,20.9,4.582,1.497,1
2020-05-21 11:24:00,2020-05-21 11:33:00,9,adaptive,20.91,4.582,1.494,1
2020-05-21 13:06:00,2020-05-21 13:15:00,9,adaptive,20.9,4.582,1.493,1
2020-05-21 14:30:00,2020-05-21 14:39:00,9,adaptive,17.02,4.582,1.493,1
2020-05-21 16:58:00,2020-05-21 17:07:00,9,adaptive,13.81,4.582,1.493,1
2020-05-21 17:52:00,2020-05-21 18:13:00,21,adaptive,8.91,4.582,1.492,1
2020-05-21 20:09:00,2020-05-21 20:18:00,9,adaptive,17.57,4.582,1.493,1
2020-05-21 21:21:00,2020-05-21 21:30:00,9,adaptive,20.81,4.582,1.492,1
2020-05-22 03:59:00,2020-05-22 04:08:00,9,adaptive,16.93,4.582,1.48,1
2020-05-22 04:43:00,2020-05-22 04:52:00,9,adaptive,16.89,4.582,1.481,1
2020-06-02 19:08:00,2020-06-02 20:58:00,110,frozen,11.01,4.582,1.216,1
2020-06-02 19:08:00,2020-06-02 20:03:00,55,adaptive,11.79,4.582,1.217,1
2020-06-05 17:43:00,2020-06-10 12:26:00,6883,ratio,1.518,1.25,1.518,3
2020-06-06 19:45:00,2020-06-06 20:09:00,24,adaptive,20.26,4.582,1.423,1
2020-06-07 03:08:00,2020-06-07 03:22:00,14,adaptive,8.7,4.582,1.443,1
2020-06-08 11:51:00,2020-06-08 12:29:00,38,adaptive,19.82,4.582,1.509,1
2020-06-08 13:43:00,2020-06-08 14:03:00,20,adaptive,19.59,4.582,1.507,1
2020-06-08 20:19:00,2020-06-08 20:28:00,9,adaptive,20.87,4.582,1.505,1
2020-06-15 17:00:00,2020-06-15 20:26:00,206,ratio,1.257,1.25,1.257,3
2020-06-17 04:21:00,2020-06-23 03:19:00,8578,ratio,1.602,1.25,1.602,3
2020-06-18 05:00:00,2020-06-18 05:10:00,10,adaptive,4.64,4.582,1.311,1
2020-06-28 04:38:00,2020-06-28 11:31:00,413,ratio,1.262,1.25,1.262,3
2020-06-28 11:34:00,2020-06-28 11:37:00,3,ratio,1.25,1.25,1.25,3
2020-06-28 11:38:00,2020-06-28 11:45:00,7,ratio,1.251,1.25,1.251,3
2020-06-29 11:56:00,2020-06-29 12:37:00,41,ratio,1.256,1.25,1.256,3
2020-06-29 12:42:00,2020-08-04 18:01:00,52159,ratio,1.9,1.25,1.9,3
2020-07-08 17:59:00,2020-07-08 18:18:00,19,frozen,5.02,4.582,1.664,1
2020-07-14 02:04:00,2020-07-14 02:58:00,54,adaptive,14.58,4.582,1.815,1
2020-07-14 02:04:00,2020-07-14 02:58:00,54,frozen,11.28,4.582,1.815,1
2020-07-17 01:17:00,2020-07-17 04:45:00,208,frozen,13.5,4.582,1.807,1
2020-07-17 01:17:00,2020-07-17 01:28:00,11,adaptive,17.45,4.582,1.774,1
2020-07-18 01:35:00,2020-07-18 01:45:00,10,frozen,10.43,4.582,1.892,1
2020-07-18 01:35:00,2020-07-18 01:45:00,10,adaptive,12.76,4.582,1.892,1
2020-07-24 01:03:00,2020-07-24 01:14:00,11,adaptive,6.9,4.582,1.664,1
2020-07-28 03:38:00,2020-07-28 03:49:00,11,adaptive,12.72,4.582,1.402,1
2020-07-28 03:39:00,2020-07-28 03:49:00,10,frozen,10.41,4.582,1.402,1
2020-07-31 01:22:00,2020-07-31 06:08:00,286,frozen,11.27,4.582,1.426,1
2020-07-31 01:22:00,2020-07-31 02:18:00,56,adaptive,13.42,4.582,1.402,1
2020-08-03 09:04:00,2020-08-03 09:14:00,10,adaptive,4.67,4.582,1.318,1
2020-08-03 09:56:00,2020-08-03 13:47:00,231,frozen,10.88,4.582,1.3,1
2020-08-03 09:56:00,2020-08-03 10:34:00,38,adaptive,12.99,4.582,1.316,1
2020-08-04 21:28:00,2020-08-04 21:43:00,15,ratio,1.252,1.25,1.252,3
2020-08-04 21:44:00,2020-08-10 14:54:00,8230,ratio,1.432,1.25,1.432,3
2020-08-06 08:35:00,2020-08-06 08:48:00,13,adaptive,12.43,4.582,1.317,1
2020-08-06 08:36:00,2020-08-06 08:58:00,22,frozen,10.42,4.582,1.315,1
2020-08-10 15:02:00,2020-08-10 15:13:00,11,ratio,1.251,1.25,1.251,3
2020-08-11 06:00:00,2020-08-11 13:39:00,459,ratio,1.273,1.25,1.273,3
2020-08-11 21:14:00,2020-08-11 21:19:00,5,ratio,1.251,1.25,1.251,3
2020-08-11 21:24:00,2020-08-12 02:31:00,307,ratio,1.262,1.25,1.262,3
2020-08-12 02:44:00,2020-08-12 02:47:00,3,ratio,1.25,1.25,1.25,3
2020-08-12 05:23:00,2020-09-01 03:59:00,28716,ratio,1.458,1.25,1.458,3
