window_days,k_and,k_ratio,health_single,health_ratio,health_union,health_and,detected_single,detected_ratio,detected_union,detected_and,delay_single,delay_union,delay_and
1,1.05,1.15,51,133,184,51,12,12,12,12,20.3,20.3,20.3
1,1.1,1.15,51,133,184,51,12,12,12,12,20.3,20.3,20.3
1,1.15,1.15,51,133,184,51,12,12,12,12,20.3,20.3,20.3
1,1.25,1.15,51,133,184,51,12,12,12,12,20.3,20.3,20.3
1,1.4,1.15,51,133,184,51,12,12,12,12,20.3,20.3,20.3
1,1.05,1.25,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.1,1.25,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.15,1.25,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.25,1.25,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.4,1.25,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.05,1.4,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.1,1.4,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.15,1.4,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.25,1.4,51,150,201,51,12,12,12,12,20.3,20.3,20.3
1,1.4,1.4,51,150,201,51,12,12,12,12,20.3,20.3,20.3
3,1.05,1.15,51,76,127,51,12,12,12,12,20.3,20.3,20.3
3,1.1,1.15,51,76,127,51,12,12,12,12,20.3,20.3,20.3
3,1.15,1.15,51,76,127,51,12,12,12,12,20.3,20.3,20.3
3,1.25,1.15,51,76,127,51,12,12,12,12,20.3,20.3,20.3
3,1.4,1.15,51,76,127,51,12,12,12,12,20.3,20.3,20.3
3,1.05,1.25,51,83,134,51,12,12,12,12,20.3,20.3,20.3
3,1.1,1.25,51,83,134,51,12,12,12,12,20.3,20.3,20.3
3,1.15,1.25,51,83,134,51,12,12,12,12,20.3,20.3,20.3
3,1.25,1.25,51,83,134,51,12,12,12,12,20.3,20.3,20.3
3,1.4,1.25,51,83,134,51,12,12,12,12,20.3,20.3,20.3
3,1.05,1.4,51,96,147,51,12,12,12,12,20.3,20.3,20.3
3,1.1,1.4,51,96,147,51,12,12,12,12,20.3,20.3,20.3
3,1.15,1.4,51,96,147,51,12,12,12,12,20.3,20.3,20.3
3,1.25,1.4,51,96,147,51,12,12,12,12,20.3,20.3,20.3
3,1.4,1.4,51,96,147,51,12,12,12,12,20.3,20.3,20.3
5,1.05,1.15,51,87,138,51,12,12,12,12,20.3,20.3,20.3
5,1.1,1.15,51,87,138,51,12,12,12,12,20.3,20.3,20.3
5,1.15,1.15,51,87,138,50,12,12,12,12,20.3,20.3,20.3
5,1.25,1.15,51,87,138,50,12,12,12,12,20.3,20.3,20.3
5,1.4,1.15,51,87,138,49,12,12,12,12,20.3,20.3,20.3
5,1.05,1.25,51,62,113,51,12,12,12,12,20.3,20.3,20.3
5,1.1,1.25,51,62,113,51,12,12,12,12,20.3,20.3,20.3
5,1.15,1.25,51,62,113,50,12,12,12,12,20.3,20.3,20.3
5,1.25,1.25,51,62,113,50,12,12,12,12,20.3,20.3,20.3
5,1.4,1.25,51,62,113,49,12,12,12,12,20.3,20.3,20.3
5,1.05,1.4,51,59,110,51,12,12,12,12,20.3,20.3,20.3
5,1.1,1.4,51,59,110,51,12,12,12,12,20.3,20.3,20.3
5,1.15,1.4,51,59,110,50,12,12,12,12,20.3,20.3,20.3
5,1.25,1.4,51,59,110,50,12,12,12,12,20.3,20.3,20.3
5,1.4,1.4,51,59,110,49,12,12,12,12,20.3,20.3,20.3
