t_day,cake_solids_pct,target_pct,wet_cake_m3d,filtrate_m3d,filtrate_tss,dry_solids_kgd,overflow_tss,thickened_pct,track
0.00000000,28.00000000,28.00000000,12.03986251,37.10243346,1854.30463576,3371.16150359,209.02685606,7.00000000,healthy
0.01041667,28.00000000,28.00000000,12.03992122,37.10261437,1854.30463576,3371.17794100,209.02802438,7.00000000,healthy
0.02083333,28.00000000,28.00000000,12.03957771,37.10155581,1854.30463576,3371.08175974,209.02118814,7.00000000,healthy
0.03125000,28.00000000,28.00000000,12.03587822,37.09015533,1854.30463576,3370.04590196,208.94756650,7.00000000,healthy
0.04166667,28.00000000,28.00000000,12.02617396,37.06025036,1854.30463576,3367.32870782,208.75447847,7.00000000,healthy
0.05208333,28.00000000,28.00000000,12.01075045,37.01272078,1854.30463576,3363.01012672,208.44768708,7.00000000,healthy
0.06250000,28.00000000,28.00000000,11.98807675,36.94284877,1854.30463576,3356.66149089,207.99688958,7.00000000,healthy
0.07291667,28.00000000,28.00000000,11.95761909,36.84898944,1854.30463576,3348.13334500,207.39172225,7.00000000,healthy
0.08333333,28.00000000,28.00000000,11.92179492,36.73859252,1854.30463576,3338.10257833,206.68049972,7.00000000,healthy
0.09375000,28.00000000,28.00000000,11.88149731,36.61441008,1854.30463576,3326.81924709,205.88120390,7.00000000,healthy
0.10416667,28.00000000,28.00000000,11.83717103,36.47781276,1854.30463576,3314.40788791,205.00290209,7.00000000,healthy
0.11458333,28.00000000,28.00000000,11.79091507,36.33526890,1854.30463576,3301.45622036,204.08737074,7.00000000,healthy
0.12500000,28.00000000,28.00000000,11.74329525,36.18852211,1854.30463576,3288.12267130,203.14591628,7.00000000,healthy
0.13541667,28.00000000,28.00000000,11.69423014,36.03732145,1854.30463576,3274.38443898,202.17702297,7.00000000,healthy
0.14583333,28.00000000,28.00000000,11.64517489,35.88615119,1854.30463576,3260.64896871,201.20947406,7.00000000,healthy
0.15625000,28.00000000,28.00000000,11.59659289,35.73643931,1854.30463576,3247.04600862,200.25239028,7.00000000,healthy
0.16666667,28.00000000,28.00000000,11.54824547,35.58745033,1854.30463576,3233.50873168,199.30104318,7.00000000,healthy
0.17708333,28.00000000,28.00000000,11.50111069,35.44219825,1854.30463576,3220.31099350,198.37462678,7.00000000,healthy
0.18750000,28.00000000,28.00000000,11.45573287,35.30236048,1854.30463576,3207.60520415,197.48373844,7.00000000,healthy
0.19791667,28.00000000,28.00000000,11.41217965,35.16814545,1854.30463576,3195.41030173,196.62958895,7.00000000,healthy
0.20833333,28.00000000,28.00000000,11.37159702,35.04308469,1854.30463576,3184.04716545,195.83450486,7.00000000,healthy
0.21875000,28.00000000,28.00000000,11.33508630,34.93057205,1854.30463576,3173.82416274,195.11986095,7.00000000,healthy
0.22916667,28.00000000,28.00000000,11.30324539,34.83245006,1854.30463576,3164.90870784,194.49713490,7.00000000,healthy
0.23958333,28.00000000,28.00000000,11.27561845,34.74731400,1854.30463576,3157.17316580,193.95721022,7.00000000,healthy
0.25000000,28.00000000,28.00000000,11.25098889,34.67141475,1854.30463576,3150.27688971,193.47616733,7.00000000,healthy
0.26041667,28.00000000,28.00000000,11.22847944,34.60204887,1854.30463576,3143.97424181,193.03678178,7.00000000,healthy
0.27083333,28.00000000,28.00000000,11.20787404,34.53855061,1854.30463576,3138.20473088,192.63477222,7.00000000,healthy
0.28125000,28.00000000,28.00000000,11.19158541,34.48835503,1854.30463576,3133.64391389,192.31712339,7.00000000,healthy
0.29166667,28.00000000,28.00000000,11.18558204,34.46985485,1854.30463576,3131.96297037,192.20008152,7.00000000,healthy
0.30208333,28.00000000,28.00000000,11.19062686,34.48540115,1854.30463576,3133.37552137,192.29843444,7.00000000,healthy
0.31250000,28.00000000,28.00000000,11.20616319,34.53327839,1854.30463576,3137.72569181,192.60140256,7.00000000,healthy
0.32291667,28.00000000,28.00000000,11.24336091,34.64790811,1854.30463576,3148.14105451,193.32724211,7.00000000,healthy
0.33333333,28.00000000,28.00000000,11.29854138,34.81795406,1854.30463576,3163.59158701,194.40517724,7.00000000,healthy
0.34375000,28.00000000,28.00000000,11.36670695,35.02801529,1854.30463576,3182.67794540,195.73875239,7.00000000,healthy
0.35416667,28.00000000,28.00000000,11.46041546,35.31679049,1854.30463576,3208.91632801,197.57562500,7.00000000,healthy
0.36458333,28.00000000,28.00000000,11.57504858,35.67004766,1854.30463576,3241.01360229,199.82831895,7.00000000,healthy
0.37500000,28.00000000,28.00000000,11.70209563,36.06156000,1854.30463576,3276.58677610,202.33226606,7.00000000,healthy
0.38541667,28.00000000,28.00000000,11.83099526,36.45878131,1854.30463576,3312.67867309,204.88060745,7.00000000,healthy
0.39583333,28.00000000,28.00000000,11.94949252,36.82394633,1854.30463576,3345.85790455,207.23032994,7.00000000,healthy
0.40625000,28.00000000,28.00000000,12.05524976,37.14985130,1854.30463576,3375.46993249,209.33314273,7.00000000,healthy
0.41666667,28.00000000,28.00000000,12.15000037,37.44183789,1854.30463576,3402.00010459,211.22170331,7.00000000,healthy
0.42708333,28.00000000,28.00000000,12.23552992,37.70540854,1854.30463576,3425.94837865,212.93021439,7.00000000,healthy
0.43750000,28.00000000,28.00000000,12.31262841,37.94299776,1854.30463576,3447.53595533,214.47336322,7.00000000,healthy
0.44791667,28.00000000,28.00000000,12.38129920,38.15461591,1854.30463576,3466.76377705,215.85027426,7.00000000,healthy
0.45833333,28.00000000,28.00000000,12.44181781,38.34111204,1854.30463576,3483.70898770,217.06564123,7.00000000,healthy
0.46875000,28.00000000,28.00000000,12.49440548,38.50316792,1854.30463576,3498.43353544,218.12319459,7.00000000,healthy
