偏差结构,幅度,缓解,检出延迟中位,检出延迟区间,检出率,提前量中位,健康误报出现次
线性慢漂移,1%,M1 无补偿,9.53,"[5.03, 11.03]",6/6,39.01,0/6
线性慢漂移,3%,M1 无补偿,9.03,"[5.03, 11.03]",6/6,37.59,0/6
线性慢漂移,5%,M1 无补偿,11.05,"[10.03, 13.03]",6/6,34.17,0/6
阶跃偏置(第100天),1%,M1 无补偿,9.53,"[1.03, 11.03]",6/6,39.96,0/6
阶跃偏置(第100天),3%,M1 无补偿,9.53,"[1.03, 12.09]",6/6,39.96,0/6
阶跃偏置(第100天),5%,M1 无补偿,13.65,"[9.78, 14.03]",6/6,34.09,0/6
周期6.3天,1%,M1 无补偿,11.36,"[5.03, 14.03]",6/6,35.64,0/6
周期6.3天,3%,M1 无补偿,13.01,"[7.78, 14.03]",6/6,32.96,0/6
周期6.3天,5%,M1 无补偿,13.66,"[7.95, 19.61]",6/6,32.44,0/6
周期30天,1%,M1 无补偿,10.53,"[5.03, 12.03]",6/6,36.16,0/6
周期30天,3%,M1 无补偿,13.93,"[10.49, 15.03]",6/6,32.05,0/6
周期30天,5%,M1 无补偿,14.89,"[14.03, 16.03]",6/6,31.46,0/6
随机游走,1%,M1 无补偿,23.68,"[13.03, 37.03]",6/6,20.82,0/6
随机游走,3%,M1 无补偿,46.99,"[37.39, 95.03]",4/6,-2.5,0/6
随机游走,5%,M1 无补偿,72.72,"[59.03, 86.41]",2/6,-26.73,0/6
线性慢漂移,3%,M2 每30天重标定,20.03,"[10.03, 24.03]",6/6,25.46,0/6
线性慢漂移,3%,M3 双测量平均,9.03,"[5.03, 11.03]",6/6,37.59,0/6
周期6.3天,3%,M2 每30天重标定,10.53,"[5.03, 14.52]",6/6,38.46,0/6
周期6.3天,3%,M3 双测量平均,13.01,"[7.78, 14.03]",6/6,32.96,0/6
阶跃偏置(第100天),3%,M2 每30天重标定,9.8,"[5.03, 11.03]",6/6,37.28,0/6
阶跃偏置(第100天),3%,M3 双测量平均,9.53,"[1.03, 12.09]",6/6,39.96,0/6
随机游走,3%,M2 每30天重标定,76.11,"[76.11, 76.11]",1/6,-29.12,0/6
随机游走,3%,M3 双测量平均,30.03,"[16.11, 72.41]",5/6,14.83,0/6
无偏差（对照）,0%,M1 无补偿,9.8,"[5.03, 11.03]",6/6,37.28,0/6
随机游走,3%,M0 阈值自干净标定段,6.59,"[0.03, 23.03]",5/6,42.41,0/6
随机游走,5%,M0 阈值自干净标定段,3.04,"[0.03, 60.08]",5/6,45.96,0/6
线性慢漂移,5%,M0 阈值自干净标定段,12.75,"[5.03, 14.27]",6/6,36.25,0/6
周期6.3天,5%,M0 阈值自干净标定段,1.03,"[0.35, 7.03]",6/6,47.97,0/6
